"Id","Class","Label","Direction","Intersection"
"HIP1","gene","HIP1","Down-regulated","CMV_T"
"HMG20B","gene","HMG20B","Down-regulated","CMV_T"
"HMGB1","gene","HMGB1","Down-regulated","CMV_T"
"HMGCR","gene","HMGCR","Down-regulated","CMV_T"
"HOOK3","gene","HOOK3","Down-regulated","CMV_T"
"HPCAL1","gene","HPCAL1","Down-regulated","CMV_T"
"HS2ST1","gene","HS2ST1","Down-regulated","CMV_T"
"HYAL2","gene","HYAL2","Down-regulated","CMV_T"
"IARS1","gene","IARS1","Down-regulated","CMV_T"
"ICMT","gene","ICMT","Down-regulated","CMV_T"
"ID2","gene","ID2","Down-regulated","CMV_T"
"IER5L","gene","IER5L","Down-regulated","CMV_T"
"IFT122","gene","IFT122","Down-regulated","CMV_T"
"IKBIP","gene","IKBIP","Down-regulated","CMV_T"
"IL13RA1","gene","IL13RA1","Down-regulated","CMV_T"
"IMPA2","gene","IMPA2","Down-regulated","CMV_T"
"INKA2","gene","INKA2","Down-regulated","CMV_T"
"INPPL1","gene","INPPL1","Down-regulated","CMV_T"
"ITGAV","gene","ITGAV","Down-regulated","CMV_T"
"IVNS1ABP","gene","IVNS1ABP","Down-regulated","CMV_T"
"JAML","gene","JAML","Down-regulated","CMV_T"
"JMJD8","gene","JMJD8","Down-regulated","CMV_T"
"KCND2","gene","KCND2","Down-regulated","CMV_T"
"KCNK6","gene","KCNK6","Down-regulated","CMV_T"
"KCTD12","gene","KCTD12","Down-regulated","CMV_T"
"KCTD20","gene","KCTD20","Down-regulated","CMV_T"
"KIAA0232","gene","KIAA0232","Down-regulated","CMV_T"
"KIAA0754","gene","KIAA0754","Down-regulated","CMV_T"
"KIF1C","gene","KIF1C","Down-regulated","CMV_T"
"KIFC2","gene","KIFC2","Down-regulated","CMV_T"
"KLHDC3","gene","KLHDC3","Down-regulated","CMV_T"
"KLHL22","gene","KLHL22","Down-regulated","CMV_T"
"LDHA","gene","LDHA","Down-regulated","CMV_T"
"LDLRAD4","gene","LDLRAD4","Down-regulated","CMV_T"
"LFNG","gene","LFNG","Down-regulated","CMV_T"
"LGALS12","gene","LGALS12","Down-regulated","CMV_T"
"LIMS1","gene","LIMS1","Down-regulated","CMV_T"
"LRFN4","gene","LRFN4","Down-regulated","CMV_T"
"LRP1","gene","LRP1","Down-regulated","CMV_T"
"LTA4H","gene","LTA4H","Down-regulated","CMV_T"
"LYRM7","gene","LYRM7","Down-regulated","CMV_T"
"MAF","gene","MAF","Down-regulated","CMV_T"
"MAN2A2","gene","MAN2A2","Down-regulated","CMV_T"
"MAOA","gene","MAOA","Down-regulated","CMV_T"
"MAP3K3","gene","MAP3K3","Down-regulated","CMV_T"
"MAPK14","gene","MAPK14","Down-regulated","CMV_T"
"MAPK3","gene","MAPK3","Down-regulated","CMV_T"
"MAVS","gene","MAVS","Down-regulated","CMV_T"
"MAZ","gene","MAZ","Down-regulated","CMV_T"
"MDFIC","gene","MDFIC","Down-regulated","CMV_T"
"MERTK","gene","MERTK","Down-regulated","CMV_T"
"METTL21A","gene","METTL21A","Down-regulated","CMV_T"
"METTL7A","gene","METTL7A","Down-regulated","CMV_T"
"MFSD3","gene","MFSD3","Down-regulated","CMV_T"
"MGAT5","gene","MGAT5","Down-regulated","CMV_T"
"MINDY2","gene","MINDY2","Down-regulated","CMV_T"
"MMD","gene","MMD","Down-regulated","CMV_T"
"MPI","gene","MPI","Down-regulated","CMV_T"
"MRC1","gene","MRC1","Down-regulated","CMV_T"
"MRO","gene","MRO","Down-regulated","CMV_T"
"MYC","gene","MYC","Down-regulated","CMV_T"
"MYG1","gene","MYG1","Down-regulated","CMV_T"
"NALCN","gene","NALCN","Down-regulated","CMV_T_AND_HIV_T"
"NAV1","gene","NAV1","Down-regulated","CMV_T"
"NCAPG2","gene","NCAPG2","Down-regulated","CMV_T"
"NECTIN4","gene","NECTIN4","Down-regulated","CMV_T"
"NMT2","gene","NMT2","Down-regulated","CMV_T"
"NRP1","gene","NRP1","Down-regulated","CMV_T"
"NT5DC2","gene","NT5DC2","Down-regulated","CMV_T"
"NTHL1","gene","NTHL1","Down-regulated","CMV_T"
"NUAK1","gene","NUAK1","Down-regulated","CMV_T"
"NUCKS1","gene","NUCKS1","Down-regulated","CMV_T"
"NUDT3","gene","NUDT3","Down-regulated","CMV_T"
"NUS1","gene","NUS1","Down-regulated","CMV_T"
"OLFML2B","gene","OLFML2B","Down-regulated","CMV_T"
"OR8G5","gene","OR8G5","Down-regulated","CMV_T"
"ORAI3","gene","ORAI3","Down-regulated","CMV_T"
"OTULINL","gene","OTULINL","Down-regulated","CMV_T"
"PAPSS2","gene","PAPSS2","Down-regulated","CMV_T"
"PC","gene","PC","Down-regulated","CMV_T"
"PCCA","gene","PCCA","Down-regulated","CMV_T"
"PCDHGC3","gene","PCDHGC3","Down-regulated","CMV_T"
"PCM1","gene","PCM1","Down-regulated","CMV_T"
"PCSK6","gene","PCSK6","Down-regulated","CMV_T"
"PCYOX1","gene","PCYOX1","Down-regulated","CMV_T"
"PCYT2","gene","PCYT2","Down-regulated","CMV_T"
"PDE2A","gene","PDE2A","Down-regulated","CMV_T"
"PDE3B","gene","PDE3B","Down-regulated","CMV_T"
"PDGFC","gene","PDGFC","Down-regulated","CMV_T"
"PDIA2","gene","PDIA2","Down-regulated","CMV_T_AND_HIV_T"
"PDK1","gene","PDK1","Down-regulated","CMV_T"
"PFDN5","gene","PFDN5","Down-regulated","CMV_T"
"PGA4","gene","PGA4","Down-regulated","CMV_T"
"PHETA1","gene","PHETA1","Down-regulated","CMV_T"
"PHF20L1","gene","PHF20L1","Down-regulated","CMV_T"
"PHLDA1","gene","PHLDA1","Down-regulated","CMV_T"
"PI4KA","gene","PI4KA","Down-regulated","CMV_T"
"PIGX","gene","PIGX","Down-regulated","CMV_T"
"PIK3R2","gene","PIK3R2","Down-regulated","CMV_T"
"PITPNC1","gene","PITPNC1","Down-regulated","CMV_T"
"PLB1","gene","PLB1","Down-regulated","CMV_T"
"PLCB2","gene","PLCB2","Down-regulated","CMV_T"
"PLXDC2","gene","PLXDC2","Down-regulated","CMV_T"
"PLXNB2","gene","PLXNB2","Down-regulated","CMV_T"
"PLXND1","gene","PLXND1","Down-regulated","CMV_T"
"PMFBP1","gene","PMFBP1","Down-regulated","CMV_T"
"POLD2","gene","POLD2","Down-regulated","CMV_T"
"POLD4","gene","POLD4","Down-regulated","CMV_T"
"PPARA","gene","PPARA","Down-regulated","CMV_T"
"PPARG","gene","PPARG","Down-regulated","CMV_T"
"PPIP5K2","gene","PPIP5K2","Down-regulated","CMV_T"
"PPM1F","gene","PPM1F","Down-regulated","CMV_T"
"PPP1R14B","gene","PPP1R14B","Down-regulated","CMV_T"
"PPP2R5A","gene","PPP2R5A","Down-regulated","CMV_T"
"PPP3CA","gene","PPP3CA","Down-regulated","CMV_T"
"PPT1","gene","PPT1","Down-regulated","CMV_T"
"PRAM1","gene","PRAM1","Down-regulated","CMV_T"
"PREX2","gene","PREX2","Down-regulated","CMV_T_AND_HIV_T"
"PRKAR2A","gene","PRKAR2A","Down-regulated","CMV_T"
"PROS1","gene","PROS1","Down-regulated","CMV_T"
"PRXL2B","gene","PRXL2B","Down-regulated","CMV_T"
"PTPRG","gene","PTPRG","Down-regulated","CMV_T"
"PTTG1IP","gene","PTTG1IP","Down-regulated","CMV_T"
"PXK","gene","PXK","Down-regulated","CMV_T"
"PYGL","gene","PYGL","Down-regulated","CMV_T"
"RAB11FIP4","gene","RAB11FIP4","Down-regulated","CMV_T"
"RAB4A","gene","RAB4A","Down-regulated","CMV_T"
"RAPH1","gene","RAPH1","Down-regulated","CMV_T"
"RASA3","gene","RASA3","Down-regulated","CMV_T"
"RBBP7","gene","RBBP7","Down-regulated","CMV_T"
"RDH12","gene","RDH12","Down-regulated","CMV_T"
"RETSAT","gene","RETSAT","Down-regulated","CMV_T"
"RFLNB","gene","RFLNB","Down-regulated","CMV_T"
"RGL2","gene","RGL2","Down-regulated","CMV_T"
"RNF125","gene","RNF125","Down-regulated","CMV_T"
"RPL10","gene","RPL10","Down-regulated","CMV_T"
"RPL10A","gene","RPL10A","Down-regulated","CMV_T"
"RPL17","gene","RPL17","Down-regulated","CMV_T"
"RPL18A","gene","RPL18A","Down-regulated","CMV_T"
"RPL19","gene","RPL19","Down-regulated","CMV_T"
"RPL21","gene","RPL21","Down-regulated","CMV_T"
"RPL36A","gene","RPL36A","Down-regulated","CMV_T"
"RPL41","gene","RPL41","Down-regulated","CMV_T"
"RPL6","gene","RPL6","Down-regulated","CMV_T"
"RPL7","gene","RPL7","Down-regulated","CMV_T"
"RPL7A","gene","RPL7A","Down-regulated","CMV_T"
"RPL8","gene","RPL8","Down-regulated","CMV_T"
"RPLP0","gene","RPLP0","Down-regulated","CMV_T"
"RPS11","gene","RPS11","Down-regulated","CMV_T"
"RPS18","gene","RPS18","Down-regulated","CMV_T"
"RPS25","gene","RPS25","Down-regulated","CMV_T"
"RPS4Y1","gene","RPS4Y1","Down-regulated","CMV_T_AND_HIV_T"
"RPS6","gene","RPS6","Down-regulated","CMV_T"
"RXRA","gene","RXRA","Down-regulated","CMV_T"
"S100A4","gene","S100A4","Down-regulated","CMV_T"
"SAMD1","gene","SAMD1","Down-regulated","CMV_T"
"SCD","gene","SCD","Down-regulated","CMV_T"
"SDC1","gene","SDC1","Down-regulated","CMV_T"
"SDC2","gene","SDC2","Down-regulated","CMV_T"
"SEL1L","gene","SEL1L","Down-regulated","CMV_T"
"SELE","gene","SELE","Down-regulated","CMV_T_AND_HIV_T"
"SELENOP","gene","SELENOP","Down-regulated","CMV_T"
"SEPTIN9","gene","SEPTIN9","Down-regulated","CMV_T"
"SERINC5","gene","SERINC5","Down-regulated","CMV_T"
"SERPINF2","gene","SERPINF2","Down-regulated","CMV_T"
"SETD7","gene","SETD7","Down-regulated","CMV_T"
"SF3B1","gene","SF3B1","Down-regulated","CMV_T"
"SFXN2","gene","SFXN2","Down-regulated","CMV_T"
"SH3BP5","gene","SH3BP5","Down-regulated","CMV_T"
"SH3RF3","gene","SH3RF3","Down-regulated","CMV_T"
"SHE","gene","SHE","Down-regulated","CMV_T"
"SLC1A5","gene","SLC1A5","Down-regulated","CMV_T"
"SLC25A15","gene","SLC25A15","Down-regulated","CMV_T"
"SLC25A29","gene","SLC25A29","Down-regulated","CMV_T_AND_HIV_T"
"SLC25A3","gene","SLC25A3","Down-regulated","CMV_T"
"SLC26A2","gene","SLC26A2","Down-regulated","CMV_T"
"SLC27A1","gene","SLC27A1","Down-regulated","CMV_T"
"SLC33A1","gene","SLC33A1","Down-regulated","CMV_T"
"SLC35E1","gene","SLC35E1","Down-regulated","CMV_T"
"SLC39A12","gene","SLC39A12","Down-regulated","CMV_T"
"SLC46A1","gene","SLC46A1","Down-regulated","CMV_T"
"SLC46A2","gene","SLC46A2","Down-regulated","CMV_T"
"SLC4A7","gene","SLC4A7","Down-regulated","CMV_T"
"SLC7A6","gene","SLC7A6","Down-regulated","CMV_T"
"SNX18","gene","SNX18","Down-regulated","CMV_T"
"SNX5","gene","SNX5","Down-regulated","CMV_T"
"SORT1","gene","SORT1","Down-regulated","CMV_T"
"SOWAHD","gene","SOWAHD","Down-regulated","CMV_T"
"SPCS3","gene","SPCS3","Down-regulated","CMV_T"
"SPRY2","gene","SPRY2","Down-regulated","CMV_T"
"SPTLC3","gene","SPTLC3","Down-regulated","CMV_T"
"SSBP4","gene","SSBP4","Down-regulated","CMV_T"
"SSR3","gene","SSR3","Down-regulated","CMV_T"
"ST6GALNAC4","gene","ST6GALNAC4","Down-regulated","CMV_T"
"ST6GALNAC6","gene","ST6GALNAC6","Down-regulated","CMV_T"
"SUMF1","gene","SUMF1","Down-regulated","CMV_T"
"SWAP70","gene","SWAP70","Down-regulated","CMV_T"
"SYT1","gene","SYT1","Down-regulated","CMV_T"
"TBC1D2B","gene","TBC1D2B","Down-regulated","CMV_T"
"TBL1XR1","gene","TBL1XR1","Down-regulated","CMV_T"
"TBXAS1","gene","TBXAS1","Down-regulated","CMV_T"
"TECPR1","gene","TECPR1","Down-regulated","CMV_T"
"TECR","gene","TECR","Down-regulated","CMV_T"
"TEX2","gene","TEX2","Down-regulated","CMV_T"
"TFAP4","gene","TFAP4","Down-regulated","CMV_T"
"TFRC","gene","TFRC","Down-regulated","CMV_T"
"TGFBR1","gene","TGFBR1","Down-regulated","CMV_T"
"TGFBR2","gene","TGFBR2","Down-regulated","CMV_T"
"TGOLN2","gene","TGOLN2","Down-regulated","CMV_T"
"TIMP2","gene","TIMP2","Down-regulated","CMV_T"
"TIMP4","gene","TIMP4","Down-regulated","CMV_T"
"TLCD3A","gene","TLCD3A","Down-regulated","CMV_T"
"TLE1","gene","TLE1","Down-regulated","CMV_T"
"TLE3","gene","TLE3","Down-regulated","CMV_T"
"TLR5","gene","TLR5","Down-regulated","CMV_T"
"TM6SF1","gene","TM6SF1","Down-regulated","CMV_T"
"TMC8","gene","TMC8","Down-regulated","CMV_T"
"TMCO3","gene","TMCO3","Down-regulated","CMV_T"
"TMEM119","gene","TMEM119","Down-regulated","CMV_T_AND_HIV_T"
"TMEM134","gene","TMEM134","Down-regulated","CMV_T"
"TMEM167A","gene","TMEM167A","Down-regulated","CMV_T"
"TMEM181","gene","TMEM181","Down-regulated","CMV_T"
"TMEM256","gene","TMEM256","Down-regulated","CMV_T"
"TMEM37","gene","TMEM37","Down-regulated","CMV_T"
"TNFAIP8L1","gene","TNFAIP8L1","Down-regulated","CMV_T"
"TPCN1","gene","TPCN1","Down-regulated","CMV_T"
"TPST2","gene","TPST2","Down-regulated","CMV_T"
"TRAK1","gene","TRAK1","Down-regulated","CMV_T"
"TRIM8","gene","TRIM8","Down-regulated","CMV_T"
"TTC3","gene","TTC3","Down-regulated","CMV_T"
"TTYH3","gene","TTYH3","Down-regulated","CMV_T"
"TUBA1A","gene","TUBA1A","Down-regulated","CMV_T"
"UBASH3B","Placenta_179","UBASH3B","Down-regulated","CMV_T"
"UBE2R2","gene","UBE2R2","Down-regulated","CMV_T"
"UBE4B","gene","UBE4B","Down-regulated","CMV_T"
"USP9Y","gene","USP9Y","Down-regulated","CMV_T_AND_HIV_T"
"UTP14C","gene","UTP14C","Down-regulated","CMV_T"
"VASH1","gene","VASH1","Down-regulated","CMV_T"
"VKORC1","gene","VKORC1","Down-regulated","CMV_T"
"VSIG4","gene","VSIG4","Down-regulated","CMV_T"
"WDR91","gene","WDR91","Down-regulated","CMV_T"
"YPEL3","gene","YPEL3","Down-regulated","CMV_T"
"ZADH2","gene","ZADH2","Down-regulated","CMV_T"
"ZDHHC20","gene","ZDHHC20","Down-regulated","CMV_T"
"ZDHHC7","gene","ZDHHC7","Down-regulated","CMV_T"
"ZFP36L1","gene","ZFP36L1","Down-regulated","CMV_T"
"ZFY","gene","ZFY","Down-regulated","CMV_T_AND_HIV_T"
"ZFYVE21","gene","ZFYVE21","Down-regulated","CMV_T"
"ZMIZ1","gene","ZMIZ1","Down-regulated","CMV_T"
"ZNF331","gene","ZNF331","Down-regulated","CMV_T"
"ZNF385B","gene","ZNF385B","Down-regulated","CMV_T"
"ZNF664","gene","ZNF664","Down-regulated","CMV_T_AND_HIV_T"
"ZNHIT1","gene","ZNHIT1","Down-regulated","CMV_T"
"ADAMTS13","gene","ADAMTS13","Down-regulated","HIV_eg"
"ADAMTS18","Placenta_47","ADAMTS18","Down-regulated","HIV_eg"
"ADAMTS2","gene","ADAMTS2","Down-regulated","HIV_eg"
"ADCY5","gene","ADCY5","Down-regulated","HIV_eg"
"ADGRB2","gene","ADGRB2","Down-regulated","HIV_eg"
"ADSS1","gene","ADSS1","Down-regulated","HIV_eg"
"AMOT","gene","AMOT","Down-regulated","HIV_eg"
"ASPG","gene","ASPG","Down-regulated","HIV_eg"
"ATG9A","gene","ATG9A","Down-regulated","HIV_eg"
"B3GNT3","gene","B3GNT3","Down-regulated","HIV_eg"
"BMP7","gene","BMP7","Down-regulated","HIV_eg"
"CCN4","gene","CCN4","Down-regulated","HIV_eg"
"CKMT1B","gene","CKMT1B","Down-regulated","HIV_eg"
"CKMT2","gene","CKMT2","Down-regulated","HIV_eg"
"COL4A1","Placenta_179","COL4A1","Down-regulated","HIV_eg"
"CSGALNACT1","gene","CSGALNACT1","Down-regulated","HIV_eg"
"CSRNP3","gene","CSRNP3","Down-regulated","HIV_eg"
"DPPA4","gene","DPPA4","Down-regulated","HIV_eg"
"EFCAB1","gene","EFCAB1","Down-regulated","HIV_eg"
"EGFLAM","gene","EGFLAM","Down-regulated","HIV_eg"
"ESRP2","gene","ESRP2","Down-regulated","HIV_eg"
"FBN1","Placenta_179","FBN1","Down-regulated","HIV_eg"
"FLRT3","gene","FLRT3","Down-regulated","HIV_eg"
"FMO1","gene","FMO1","Down-regulated","HIV_eg"
"GATA5","gene","GATA5","Down-regulated","HIV_eg"
"HEY2","gene","HEY2","Down-regulated","HIV_eg"
"HEYL","gene","HEYL","Down-regulated","HIV_eg"
"HIGD1B","Placenta_179","HIGD1B","Down-regulated","HIV_eg"
"HR","gene","HR","Down-regulated","HIV_eg"
"HSPG2","gene","HSPG2","Down-regulated","HIV_eg"
"IL11RA","gene","IL11RA","Down-regulated","HIV_eg"
"IL34","gene","IL34","Down-regulated","HIV_eg"
"ITIH5","gene","ITIH5","Down-regulated","HIV_eg"
"KAZALD1","gene","KAZALD1","Down-regulated","HIV_eg"
"KIF26A","gene","KIF26A","Down-regulated","HIV_eg"
"KIF26B","gene","KIF26B","Down-regulated","HIV_eg"
"LAMA5","gene","LAMA5","Down-regulated","HIV_eg"
"LGI4","gene","LGI4","Down-regulated","HIV_eg"
"LIN28B","Placenta_67","LIN28B","Down-regulated","HIV_eg"
"LOC102724788","gene","LOC102724788","Down-regulated","HIV_eg"
"LRRN2","gene","LRRN2","Down-regulated","HIV_eg"
"LURAP1L","gene","LURAP1L","Down-regulated","HIV_eg"
"LYPD6","Placenta_179","LYPD6","Down-regulated","HIV_eg"
"LYVE1","Placenta_179","LYVE1","Down-regulated","HIV_eg"
"MYH10","gene","MYH10","Down-regulated","HIV_eg"
"NOSTRIN","gene","NOSTRIN","Down-regulated","HIV_eg"
"OR51E1","Placenta_179","OR51E1","Down-regulated","HIV_eg"
"P2RX6","gene","P2RX6","Down-regulated","HIV_eg"
"PCDH11X","gene","PCDH11X","Down-regulated","HIV_eg"
"PCDHA6","gene","PCDHA6","Down-regulated","HIV_eg"
"PCDHB14","gene","PCDHB14","Down-regulated","HIV_eg"
"PCDHGA4","gene","PCDHGA4","Down-regulated","HIV_eg"
"PID1","gene","PID1","Down-regulated","HIV_eg"
"PNMA2","gene","PNMA2","Down-regulated","HIV_eg"
"PPL","gene","PPL","Down-regulated","HIV_eg"
"PRUNE2","gene","PRUNE2","Down-regulated","HIV_eg"
"PTH1R","gene","PTH1R","Down-regulated","HIV_eg"
"SEMA5B","gene","SEMA5B","Down-regulated","HIV_eg"
"SERPINA3","gene","SERPINA3","Down-regulated","HIV_eg"
"SFRP1","gene","SFRP1","Down-regulated","HIV_eg"
"SFTPB","gene","SFTPB","Down-regulated","HIV_eg"
"SLC13A4","gene","SLC13A4","Down-regulated","HIV_eg"
"SLC1A1","gene","SLC1A1","Down-regulated","HIV_eg"
"SLC39A2","gene","SLC39A2","Down-regulated","HIV_eg"
"SLC40A1","gene","SLC40A1","Down-regulated","HIV_eg"
"SMIM10L2B","gene","SMIM10L2B","Down-regulated","HIV_eg"
"SPARC","Placenta_179","SPARC","Down-regulated","HIV_eg"
"SPDYE10P","gene","SPDYE10P","Down-regulated","HIV_eg"
"STON1-GTF2A1L","gene","STON1-GTF2A1L","Down-regulated","HIV_eg"
"SYT12","gene","SYT12","Down-regulated","HIV_eg"
"ZNF660-ZNF197","gene","ZNF660-ZNF197","Down-regulated","HIV_eg_AND_HIV_T"
"ACE2","gene","ACE2","Down-regulated","HIV_T"
"ACSS3","gene","ACSS3","Down-regulated","HIV_T"
"ADAMTS19","Placenta_47","ADAMTS19","Down-regulated","HIV_T"
"ADGRF4","gene","ADGRF4","Down-regulated","HIV_T"
"AFF2","Placenta_179","AFF2","Down-regulated","HIV_T"
"ANO2","gene","ANO2","Down-regulated","HIV_T"
"AP1M2","gene","AP1M2","Down-regulated","HIV_T"
"ARHGEF26","gene","ARHGEF26","Down-regulated","HIV_T"
"AVPR1A","gene","AVPR1A","Down-regulated","HIV_T"
"CACNA2D2","gene","CACNA2D2","Down-regulated","HIV_T"
"CD300LG","Placenta_179","CD300LG","Down-regulated","HIV_T"
"CETP","Placenta_47","CETP","Down-regulated","HIV_T"
"CHODL","gene","CHODL","Down-regulated","HIV_T"
"CYP26A1","gene","CYP26A1","Down-regulated","HIV_T"
"DDX3Y","gene","DDX3Y","Down-regulated","HIV_T"
"DYRK1B","gene","DYRK1B","Down-regulated","HIV_T"
"FREM1","gene","FREM1","Down-regulated","HIV_T"
"GRID1","gene","GRID1","Down-regulated","HIV_T"
"GRIK2","gene","GRIK2","Down-regulated","HIV_T"
"HIF1A","gene","HIF1A","Down-regulated","HIV_T"
"HOXC6","gene","HOXC6","Down-regulated","HIV_T"
"KRT80","gene","KRT80","Down-regulated","HIV_T"
"LGI2","gene","LGI2","Down-regulated","HIV_T"
"LNX1","gene","LNX1","Down-regulated","HIV_T"
"MFSD4A","gene","MFSD4A","Down-regulated","HIV_T"
"MMRN1","gene","MMRN1","Down-regulated","HIV_T"
"MYL4","gene","MYL4","Down-regulated","HIV_T"
"NEBL","gene","NEBL","Down-regulated","HIV_T"
"PADI1","gene","PADI1","Down-regulated","HIV_T"
"PDE1A","gene","PDE1A","Down-regulated","HIV_T"
"PRIMA1","gene","PRIMA1","Down-regulated","HIV_T"
"RARB","gene","RARB","Down-regulated","HIV_T"
"REN","gene","REN","Down-regulated","HIV_T"
"RGMA","gene","RGMA","Down-regulated","HIV_T"
"RGN","gene","RGN","Down-regulated","HIV_T"
"RIPK4","gene","RIPK4","Down-regulated","HIV_T"
"S1PR1","gene","S1PR1","Down-regulated","HIV_T"
"SLC5A3","gene","SLC5A3","Down-regulated","HIV_T"
"SULT1C4","gene","SULT1C4","Down-regulated","HIV_T"
"TNNT3","gene","TNNT3","Down-regulated","HIV_T"
"TRO","gene","TRO","Down-regulated","HIV_T"
"TSPAN18","gene","TSPAN18","Down-regulated","HIV_T"
"TUBA3E","gene","TUBA3E","Down-regulated","HIV_T"
"UTY","gene","UTY","Down-regulated","HIV_T"
"VASH2","gene","VASH2","Down-regulated","HIV_T"
"VGLL1","Placenta_67","VGLL1","Down-regulated","HIV_T"
"XAGE2","Placenta_67","XAGE2","Down-regulated","HIV_T"
"XAGE3","Placenta_67","XAGE3","Down-regulated","HIV_T"
"CMV_eg","virus","CMV_eg",NA,NA
"HIV_eg","virus","HIV_eg",NA,NA
"CMV_T","virus","CMV_T",NA,NA
"HIV_T","virus","HIV_T",NA,NA
