"Id","Class","Label","Direction","Intersection"
"FIBIN","gene","FIBIN","Down-regulated","CMV_eg_AND_HIV_eg"
"FILIP1","gene","FILIP1","Down-regulated","CMV_eg_AND_HIV_eg"
"FOXF1","gene","FOXF1","Down-regulated","CMV_eg"
"FOXI3","Placenta_47","FOXI3","Down-regulated","CMV_eg_AND_HIV_eg"
"FREM2","gene","FREM2","Down-regulated","CMV_eg_AND_HIV_eg"
"FRZB","gene","FRZB","Down-regulated","CMV_eg_AND_HIV_eg"
"FSIP2","gene","FSIP2","Down-regulated","CMV_eg"
"GALNT18","gene","GALNT18","Down-regulated","CMV_eg"
"GATA4","gene","GATA4","Down-regulated","CMV_eg_AND_HIV_eg"
"GDF6","Placenta_179","GDF6","Down-regulated","CMV_eg_AND_HIV_eg"
"GJA4","gene","GJA4","Down-regulated","CMV_eg_AND_HIV_eg"
"GLP2R","gene","GLP2R","Down-regulated","CMV_eg"
"GPBAR1","gene","GPBAR1","Down-regulated","CMV_eg"
"GPC3","Placenta_67","GPC3","Down-regulated","CMV_eg_AND_HIV_eg"
"GPLD1","gene","GPLD1","Down-regulated","CMV_eg_AND_HIV_eg"
"GUCY1A1","gene","GUCY1A1","Down-regulated","CMV_eg"
"GYG2","gene","GYG2","Down-regulated","CMV_eg"
"H4C11","gene","H4C11","Down-regulated","CMV_eg_AND_HIV_eg"
"HGF","Placenta_67","HGF","Down-regulated","CMV_eg_AND_HIV_eg"
"HIF3A","gene","HIF3A","Down-regulated","CMV_eg_AND_HIV_eg"
"HMCN1","gene","HMCN1","Down-regulated","CMV_eg_AND_HIV_eg"
"HOXA13","Placenta_179","HOXA13","Down-regulated","CMV_eg_AND_HIV_eg"
"HSD17B2","Placenta_47","HSD17B2","Down-regulated","CMV_eg_AND_HIV_eg"
"HSD17B6","gene","HSD17B6","Down-regulated","CMV_eg"
"HSF2BP","gene","HSF2BP","Down-regulated","CMV_eg"
"IGDCC4","gene","IGDCC4","Down-regulated","CMV_eg_AND_HIV_eg"
"INMT","gene","INMT","Down-regulated","CMV_eg_AND_HIV_eg"
"INSYN1","gene","INSYN1","Down-regulated","CMV_eg_AND_HIV_eg"
"IP6K3","gene","IP6K3","Down-regulated","CMV_eg_AND_HIV_eg"
"IQCN","gene","IQCN","Down-regulated","CMV_eg_AND_HIV_eg"
"ITGA11","gene","ITGA11","Down-regulated","CMV_eg_AND_HIV_eg"
"KCNA4","gene","KCNA4","Down-regulated","CMV_eg_AND_HIV_eg_AND_HIV_T"
"KCNB1","gene","KCNB1","Down-regulated","CMV_eg"
"KCNH2","gene","KCNH2","Down-regulated","CMV_eg_AND_HIV_T"
"LAMA2","Placenta_179","LAMA2","Down-regulated","CMV_eg_AND_HIV_eg"
"LAMC3","Placenta_179","LAMC3","Down-regulated","CMV_eg_AND_HIV_eg"
"LARGE2","Placenta_179","LARGE2","Down-regulated","CMV_eg_AND_HIV_eg"
"LDB3","gene","LDB3","Down-regulated","CMV_eg_AND_HIV_T"
"LEFTY2","gene","LEFTY2","Down-regulated","CMV_eg_AND_HIV_eg"
"LGR4","gene","LGR4","Down-regulated","CMV_eg_AND_HIV_eg"
"LGR5","Placenta_179","LGR5","Down-regulated","CMV_eg_AND_HIV_eg"
"LINGO1","gene","LINGO1","Down-regulated","CMV_eg"
"LOC105373989","gene","LOC105373989","Down-regulated","CMV_eg"
"LOC112267876","gene","LOC112267876","Down-regulated","CMV_eg_AND_HIV_eg"
