"Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction","Comparison"
"GLT8D2",108.023293528629,-5.51690852641438,1.44908622160863,-3.80716374508763,0.000140569676554004,0.00588767190904071,"Downregulated","HIV_eg_vs_NT_eg"
"ARHGAP24",377.47159985437,-2.71561480256207,0.955880494074542,-2.84095639506825,0.00449784619762107,0.0335722981806133,"Downregulated","HIV_eg_vs_NT_eg"
"AIF1L",234.441846481933,-4.70272622171533,1.78392549401081,-2.63616739460468,0.00838483564384508,0.0490596074286825,"Downregulated","HIV_eg_vs_NT_eg"
"H4C11",21.7383847070033,-8.64085515066649,2.50749214693502,-3.44601484045661,0.000568919114984573,0.0106611523967455,"Downregulated","HIV_eg_vs_NT_eg"
"TLN2",406.92555220381,-2.11447470149599,0.793048499730023,-2.66626152399988,0.00767000012517683,0.0464291667296797,"Downregulated","HIV_eg_vs_NT_eg"
"SH3BGRL2",77.3334374988491,-5.25451199217246,1.63359062410331,-3.21654147290218,0.00129745779437995,0.0162473320597514,"Downregulated","HIV_eg_vs_NT_eg"
"JAM3",695.228921140507,-3.111701958667,1.0900897855406,-2.85453730503844,0.0043099569594975,0.0327450087393743,"Downregulated","HIV_eg_vs_NT_eg"
"NRIP2",12.1248547244487,-27.0410858045178,4.18672936354158,-6.45876135199807,1.05563429462923e-10,1.49976843240596e-07,"Downregulated","HIV_eg_vs_NT_eg"
"CRISPLD2",7627.2595106104,-5.06364106570661,1.50094557394737,-3.37363403017314,0.000741829221690012,0.0119976061780403,"Downregulated","HIV_eg_vs_NT_eg"
"MARVELD1",887.153332665256,-2.8306996067691,0.79480999478714,-3.56147963077288,0.000368770722112713,0.00871437150399625,"Downregulated","HIV_eg_vs_NT_eg"
"TAS1R3",10.9099736500036,-2.69317805014211,0.937764077452713,-2.87191428515549,0.00407993613218486,0.0317062366353978,"Downregulated","HIV_eg_vs_NT_eg"
"ANGPTL6",38.3324834375131,-2.97975512259409,0.984276422836633,-3.02735598807354,0.00246703234836405,0.023595097897439,"Downregulated","HIV_eg_vs_NT_eg"
"HMCN1",189.044026997,-7.14957648864524,2.17499912222058,-3.28716293059733,0.00101202262085318,0.0142357241392381,"Downregulated","HIV_eg_vs_NT_eg"
"BCO2",52.1995005121251,-3.83054034472695,0.945011237646711,-4.05343364409703,5.04713205388359e-05,0.00377537881257033,"Downregulated","HIV_eg_vs_NT_eg"
"TSPAN10",26.0972431398748,-2.69772615365246,1.00592359317004,-2.68184002440079,0.00732184639616114,0.0451753693701389,"Downregulated","HIV_eg_vs_NT_eg"
"SNX25",512.233354915119,-2.12572706259087,0.514079825834063,-4.13501358304036,3.54933641558262e-05,0.00328449457932719,"Downregulated","HIV_eg_vs_NT_eg"
"PIP5K1B",56.5623116190117,-3.16190475069653,1.20219229636785,-2.63011563145888,0.00853558303436901,0.0495484559627649,"Downregulated","HIV_eg_vs_NT_eg"
"CCDC8",108.042542985919,-4.91871068312512,1.74552946067855,-2.81789038451006,0.00483403099158812,0.0350393695033208,"Downregulated","HIV_eg_vs_NT_eg"
"CTTNBP2",276.509001137078,-2.7945411387559,0.707350228036059,-3.95071780285542,7.79171533288256e-05,0.00456063397836287,"Downregulated","HIV_eg_vs_NT_eg"
"OBSCN",66.9838316127785,-2.57109058241051,0.974972073522048,-2.63709151496262,0.00836202690514384,0.0489628162134088,"Downregulated","HIV_eg_vs_NT_eg"
"SPARCL1",4284.2959707533,-4.63247740059177,1.55191537611614,-2.98500644550936,0.00283572348479796,0.0254628023628286,"Downregulated","HIV_eg_vs_NT_eg"
"KATNAL1",245.761238450378,-2.3438819318944,0.639033327809959,-3.6678555403787,0.000244593303304008,0.00708576088038454,"Downregulated","HIV_eg_vs_NT_eg"
"SRPX",742.174485017766,-4.75903834978773,1.51436481959074,-3.1425970071557,0.00167456214555318,0.0188003284559663,"Downregulated","HIV_eg_vs_NT_eg"
"ULK1",982.349733862102,-2.72043476632253,0.66626882155161,-4.08308880488684,4.44410303643986e-05,0.00358161510608127,"Downregulated","HIV_eg_vs_NT_eg"
"ACAD11",283.170750750188,-2.00123096047427,0.636244420835893,-3.14538076081683,0.0016587079527021,0.0186894649494077,"Downregulated","HIV_eg_vs_NT_eg"
"ZNRF3",168.822967619247,-2.62059124337145,0.825840380142603,-3.17324183508553,0.00150746901284592,0.0177133276186135,"Downregulated","HIV_eg_vs_NT_eg"
"SYDE2",58.723602483447,-3.22384995766639,1.02241633096764,-3.15316751114025,0.00161509098346053,0.0183835702035843,"Downregulated","HIV_eg_vs_NT_eg"
"ANTXR1",4060.73978333263,-5.42630973399136,1.33134537744572,-4.07580919716125,4.58546073549757e-05,0.00361927173607858,"Downregulated","HIV_eg_vs_NT_eg"
"LOXL4",177.384220279455,-6.14618614744939,1.90382974080376,-3.2283276260064,0.00124516276087491,0.0159503308417649,"Downregulated","HIV_eg_vs_NT_eg"
"MINDY4",75.0440358788165,-4.03314760931441,1.10051069742231,-3.66479637023166,0.000247535449924823,0.00712427994737594,"Downregulated","HIV_eg_vs_NT_eg"
"MEX3B",111.873478866926,-3.03928903607948,1.00178405267958,-3.03387644068596,0.00241433290471083,0.0233485115314486,"Downregulated","HIV_eg_vs_NT_eg"
"ZNF541",9.20593279804485,-4.99777477429641,1.47976641376589,-3.37740789884362,0.000731724529882845,0.0119077250408477,"Downregulated","HIV_eg_vs_NT_eg"
"LTBP4",1961.53114487324,-3.99411433645761,1.07045702819729,-3.73122342256364,0.000190552133575571,0.00657860408055628,"Downregulated","HIV_eg_vs_NT_eg"
"GARNL3",64.5486418094563,-3.40359286431687,1.03125543436203,-3.30043629435268,0.000965346272151637,0.0138019495656327,"Downregulated","HIV_eg_vs_NT_eg"
"SLC37A3",1024.85537777504,-3.73805231024682,0.969424993346768,-3.85594794429826,0.000115282020017138,0.00535385341985695,"Downregulated","HIV_eg_vs_NT_eg"
"SYT3",11.7228130913152,-32.3953795290709,3.32547901672477,-9.74156786620676,2.00437626365504e-22,1.04414640828003e-18,"Downregulated","HIV_eg_vs_NT_eg"
"RECK",371.495323810266,-2.09724705028613,0.692519662139601,-3.02842960993555,0.00245828338896217,0.0235829969174222,"Downregulated","HIV_eg_vs_NT_eg"
"CAVIN2",61.620399432329,-5.97169560347007,2.06891817110116,-2.88638559363211,0.00389694397260474,0.0307931661774818,"Downregulated","HIV_eg_vs_NT_eg"
"ECRG4",61.7529046043359,-7.85351596688563,2.76820154221515,-2.8370463086301,0.00455330073654091,0.0337579172668381,"Downregulated","HIV_eg_vs_NT_eg"
"PROK1",1093.7219200631,-5.5493606443843,1.64152041474808,-3.38062237577224,0.000723218618234857,0.0118723325270739,"Downregulated","HIV_eg_vs_NT_eg"
"HHIPL1",271.507769170108,-2.51688167777587,0.76845438317761,-3.27525189897207,0.00105567796061459,0.0145188068313406,"Downregulated","HIV_eg_vs_NT_eg"
"ABLIM2",236.010419913983,-5.56660877087667,1.1169932732381,-4.98356516932228,6.24232758937102e-07,0.00039885376472127,"Downregulated","HIV_eg_vs_NT_eg"
"MEGF10",26.5285723677837,-4.87293797335805,1.60162419102308,-3.04249773490579,0.00234623583108803,0.0229003531925108,"Downregulated","HIV_eg_vs_NT_eg"
"SPIRE2",63.1292309621802,-2.19207989911305,0.610336576087893,-3.59159189371173,0.00032866424550874,0.00821818372609695,"Downregulated","HIV_eg_vs_NT_eg"
"PARD6G",62.349737817617,-4.98903489012482,1.79602962155323,-2.77781325555769,0.00547260604723788,0.0379693349675072,"Downregulated","HIV_eg_vs_NT_eg"
"TPST1",1090.06742884966,-3.81686248282003,1.15103052526126,-3.31603932220102,0.00091302980981552,0.0133853938722298,"Downregulated","HIV_eg_vs_NT_eg"
"PARD6B",34.5431353729179,-2.21296224883421,0.741576120238815,-2.98413364243924,0.002843825312486,0.0254628023628286,"Downregulated","HIV_eg_vs_NT_eg"
"ST6GAL2",61.1399558084951,-6.71874778598725,1.96283144271865,-3.42298764925089,0.000619368914468886,0.0111916765242068,"Downregulated","HIV_eg_vs_NT_eg"
"FNDC1",61.4675991186736,-5.47763499105459,1.63385052919878,-3.35259247597193,0.000800584911651133,0.0124550012234427,"Downregulated","HIV_eg_vs_NT_eg"
"ACCS",168.000849639782,-2.37782234037614,0.741480296201674,-3.20685843245847,0.00134193015877491,0.0165390067986721,"Downregulated","HIV_eg_vs_NT_eg"
"SORBS2",352.449996450853,-6.35448868604617,1.69044708911347,-3.75905801901122,0.000170554287041691,0.00640418017598479,"Downregulated","HIV_eg_vs_NT_eg"
"GPT2",105.874452966207,-2.59281515388841,0.717812197636117,-3.61210796142363,0.000303718062642035,0.00793730080764168,"Downregulated","HIV_eg_vs_NT_eg"
"B3GNT9",376.53448450485,-3.52982288841806,0.993898698003843,-3.55149161127527,0.00038305420295149,0.00882819771079632,"Downregulated","HIV_eg_vs_NT_eg"
"CDC42BPA",579.675091496517,-2.57392746337708,0.828432469587801,-3.10698524969426,0.00189005829117443,0.0200937625676694,"Downregulated","HIV_eg_vs_NT_eg"
"PYROXD2",90.4857250602798,-3.04792953630153,0.785836235218777,-3.87858105760799,0.000105067518403554,0.00519535347331854,"Downregulated","HIV_eg_vs_NT_eg"
"PLCD4",17.0466911385922,-4.57451579234616,1.19710308361915,-3.82132153441308,0.000132738454477899,0.00574746455075803,"Downregulated","HIV_eg_vs_NT_eg"
"PLPP7",45.4117717397266,-2.97919096508709,1.07009818566825,-2.78403515208903,0.00536872153294703,0.0375402148174032,"Downregulated","HIV_eg_vs_NT_eg"
"SEMA7A",2761.8097488051,-2.82120493641214,0.751967411495017,-3.75176489470892,0.000175594092029491,0.00644028155251718,"Downregulated","HIV_eg_vs_NT_eg"
"CILP",1055.29054382951,-5.36252587906735,1.56846842688561,-3.41895685443623,0.000628616931735855,0.0112485468700956,"Downregulated","HIV_eg_vs_NT_eg"
"LINGO1",57.806827242004,-6.50778857123478,1.89275378390278,-3.43826472654884,0.000585455043053742,0.010840629636071,"Downregulated","HIV_eg_vs_NT_eg"
"RGS5",246.440431185745,-4.88885656161169,1.24084438187249,-3.93994334264076,8.15008550051323e-05,0.00464686019639838,"Downregulated","HIV_eg_vs_NT_eg"
"AOPEP",317.402232853312,-2.61309746930512,0.928212961600243,-2.81519174737674,0.00487481382006452,0.0352049863123698,"Downregulated","HIV_eg_vs_NT_eg"
"ATOH8",363.424310488315,-4.20987154442002,1.16032452833892,-3.62818456526702,0.00028542119571272,0.00768016451565531,"Downregulated","HIV_eg_vs_NT_eg"
"FAM222A",69.9631566514091,-2.96166865035798,0.926604174634771,-3.19626085380562,0.00139221183309292,0.0168141317832891,"Downregulated","HIV_eg_vs_NT_eg"
"LRP11",332.209492324226,-2.74516224165203,0.818915989667253,-3.35219030558612,0.000801748862988439,0.0124550012234427,"Downregulated","HIV_eg_vs_NT_eg"
"PRSS12",207.371452279648,-7.87298754967972,2.34457491665886,-3.35795947220109,0.000785201247189479,0.0123451962686893,"Downregulated","HIV_eg_vs_NT_eg"
