"Symbol","signcon","randomSummary","randomCi.lb","randomCi.ub","randomP","het_QE","het_QEp","het_QM","het_QMp","error","rank","virus","gestation"
"KCNH5",-3,-4.52562114381695,-7.99393937986092,-1.05730290777299,0.0105442367607084,0.502102726460944,0.777982410842839,6.5405563672602,0.0105442367607084,FALSE,2884,"HIV","Early/mid"
"KDM5B",-3,-2.16995447197091,-3.83308998917221,-0.506818954769601,0.0105507136645878,2.46998427933823,0.290837048434301,6.539463941957,0.0105507136645878,FALSE,2885,"HIV","Early/mid"
"MUC1",-3,-3.64146849460108,-6.43298516205679,-0.849951827145368,0.0105661989561537,3.00472403685428,0.222603744544932,6.53685490451671,0.0105661989561537,FALSE,2886,"HIV","Early/mid"
"VSNL1",-3,-5.39927803045407,-9.53865053520796,-1.25990552570018,0.0105724854725793,0.282403635919656,0.868314052642456,6.53579684046549,0.0105724854725793,FALSE,2887,"HIV","Early/mid"
"SPTB",-3,-3.72847342797057,-6.58702744375042,-0.869919412190726,0.0105754430880252,1.62383177527271,0.444006584086438,6.53529927655367,0.0105754430880252,FALSE,2889,"HIV","Early/mid"
"OTOGL",-3,-3.90453683040404,-6.89903094661872,-0.910042714189349,0.0106002618518662,1.59518080182896,0.450412972266284,6.53112959471288,0.0106002618518662,FALSE,2891,"HIV","Early/mid"
"CPE",-3,-2.79530903664812,-4.93922953169407,-0.651388541602179,0.0106047269001146,0.28590779204766,0.866794030625617,6.53038050604902,0.0106047269001146,FALSE,2892,"HIV","Early/mid"
"KIAA0754",-3,-2.29513019905104,-4.0554880577408,-0.534772340361284,0.0106073786758027,3.4581346549343,0.177449835401445,6.52993577813395,0.0106073786758027,FALSE,2893,"HIV","Early/mid"
"ADAMTS16",-3,-4.05348146923494,-7.16250378366869,-0.944459154801188,0.0106077393411845,3.0527410915626,0.217323001539714,6.52987529993993,0.0106077393411845,FALSE,2894,"HIV","Early/mid"
"ZFP42",-3,-2.94456574724946,-5.20319682395063,-0.685934670548276,0.0106128327033966,1.59051957065995,0.451463935979399,6.52902144432897,0.0106128327033966,FALSE,2895,"HIV","Early/mid"
"OXGR1",-3,-4.68654181971203,-8.28135998776011,-1.09172365166395,0.0106129022526308,0.00188008716170592,0.999060398121697,6.5290097879444,0.0106129022526308,FALSE,2896,"HIV","Early/mid"
"ABCA9",-3,-3.03263912443584,-5.35903387617345,-0.70624437269824,0.0106197650280613,1.41296037001395,0.493377743168753,6.52785997849176,0.0106197650280613,FALSE,2897,"HIV","Early/mid"
"TMEM204",-3,-3.97623996322592,-7.02685557144544,-0.925624355006393,0.0106291421008176,4.09534300735547,0.129035011601963,6.52629014767766,0.0106291421008176,FALSE,2899,"HIV","Early/mid"
"IL17RE",-3,-2.32641634872794,-4.11202395719191,-0.54080874026396,0.0106621716859431,0.0422262971726966,0.979108173595932,6.52077190249777,0.0106621716859431,FALSE,2902,"HIV","Early/mid"
"ULBP1",-3,-2.21167167911865,-3.91019929887325,-0.513144059364054,0.0107078586182744,0.761605344034374,0.68331271303654,6.51316782641086,0.0107078586182744,FALSE,2903,"HIV","Early/mid"
"MAGEA4",-3,-4.65196105042274,-8.2248235643934,-1.07909853645207,0.0107129667820146,0.378040905810651,0.827769576228822,6.51231969904872,0.0107129667820146,FALSE,2904,"HIV","Early/mid"
"GLCCI1",-3,-2.04231994781733,-3.61150494299136,-0.473134952643293,0.0107437382350498,0.0418080753679432,0.979312937198042,6.50721935966832,0.0107437382350498,FALSE,2907,"HIV","Early/mid"
"CCDC183",-3,-3.16671340266857,-5.59998655694065,-0.733440248396485,0.0107494857869653,2.78286378571026,0.248718910702431,6.50626836919867,0.0107494857869653,FALSE,2908,"HIV","Early/mid"
"FOXJ1",-3,-5.17786185078384,-9.15751475038065,-1.19820895118703,0.0107699019409087,2.50959703710506,0.285133291505676,6.50289452217176,0.0107699019409087,FALSE,2909,"HIV","Early/mid"
"KRT84",-3,-4.4702710706222,-7.90636538554799,-1.03417675569642,0.0107765208984615,0.00205728150515577,0.998971888116966,6.50180212231184,0.0107765208984615,FALSE,2911,"HIV","Early/mid"
"KRTAP2-3",-3,-4.42067051910445,-7.81911072061087,-1.02223031759803,0.0107874624242579,2.60296687522958,0.27212780883776,6.49999782942108,0.0107874624242579,FALSE,2912,"HIV","Early/mid"
"SLC22A1",3,2.16516432582648,0.500152385755626,3.83017626589734,0.010812002404277,1.58063204189012,0.453701393481419,6.49595792473256,0.010812002404277,FALSE,2913,"HIV","Early/mid"
"ADRA1B",-3,-4.35046103778259,-7.69708723138102,-1.00383484418416,0.0108384849987957,1.56321612026443,0.457669459242797,6.49160875476892,0.0108384849987957,FALSE,2914,"HIV","Early/mid"
"CPA5",-3,-4.05834823439551,-7.18175272936553,-0.93494373942549,0.010876262492356,0.00259552932614336,0.998703077069326,6.48542348134789,0.010876262492356,FALSE,2916,"HIV","Early/mid"
"KHDC1",-3,-4.64809690065775,-8.22580670615412,-1.07038709516138,0.0108855882725116,2.60171384057939,0.272298355044135,6.48389997187697,0.0108855882725116,FALSE,2917,"HIV","Early/mid"
"ZNF853",-3,-3.42051628631078,-6.05386807110425,-0.787164501517297,0.0109015567196932,2.82128486852143,0.243986487514653,6.48129438722349,0.0109015567196932,FALSE,2918,"HIV","Early/mid"
"LAMP3",3,2.17798702281965,0.50111788354097,3.85485616209833,0.0109064392482084,12.9634190587094,0.00153119082494064,6.48049848257898,0.0109064392482084,FALSE,2919,"HIV","Early/mid"
"EMILIN1",-3,-4.25689280124721,-7.53494553502737,-0.978840067467056,0.0109209748887095,4.78086288533944,0.0915901594489427,6.47813117901053,0.0109209748887094,FALSE,2920,"HIV","Early/mid"
"LOC102724488",-3,-2.00022719103906,-3.54058089322486,-0.459873488853255,0.01092425786003,0.0504395344897802,0.975095594406911,6.47759695519371,0.01092425786003,FALSE,2921,"HIV","Early/mid"
"DHH",-3,-4.49079321700573,-7.95057797474846,-1.031008459263,0.0109581967288524,0.00203466299321931,0.998983185809638,6.4720838615149,0.0109581967288524,FALSE,2923,"HIV","Early/mid"
"ZNF667",-3,-3.35022355228166,-5.93285613434898,-0.767590970214336,0.0110065752037104,3.1778606491323,0.204143862659434,6.4642553785395,0.0110065752037104,FALSE,2924,"HIV","Early/mid"
"KCNT2",-3,-5.18468210714351,-9.18259647870176,-1.18676773558526,0.0110291825186119,2.02738497014884,0.362876586334363,6.46060921468891,0.0110291825186119,FALSE,2925,"HIV","Early/mid"
"GP5",-3,-3.70112748706415,-6.55594408670338,-0.846310887424931,0.0110537293042274,0.087774343603845,0.957061934955049,6.45665892109974,0.0110537293042274,FALSE,2926,"HIV","Early/mid"
"KRT18",-3,-4.11984987630439,-7.29835741706407,-0.941342335544713,0.0110718100090549,4.17052104328195,0.124274739688939,6.4537549606353,0.0110718100090549,FALSE,2927,"HIV","Early/mid"
"JAKMIP3",-3,-3.27217130882411,-5.7975929467324,-0.74674967091582,0.0111007317295705,1.39831880242493,0.497002908290012,6.44911991505046,0.0111007317295705,FALSE,2930,"HIV","Early/mid"
"CERS1",-3,-2.70079123688498,-4.78553670894222,-0.616045764827741,0.0111126421412274,2.38385727431453,0.303635097066217,6.4472147325821,0.0111126421412274,FALSE,2932,"HIV","Early/mid"
"TRIM50",-3,-3.30855720657968,-5.86359383158865,-0.753520581570713,0.011149172351243,0.923536766843062,0.630168280461118,6.44138442288483,0.011149172351243,FALSE,2936,"HIV","Early/mid"
"QSOX1",-3,-2.20314746169677,-3.90528810765937,-0.501006815734173,0.0111852207877074,0.718793006682969,0.698097498477827,6.43565018951503,0.0111852207877074,FALSE,2938,"HIV","Early/mid"
"GPR176",-3,-3.66675200805584,-6.50018355425478,-0.833320461856893,0.011200029367827,3.80778023806321,0.148987909737301,6.43330007835558,0.011200029367827,FALSE,2942,"HIV","Early/mid"
"DNAJC12",-3,-5.71972576062469,-10.14213147063,-1.29732005061934,0.0112472151147812,3.64870598557332,0.161321986860056,6.42583294521899,0.0112472151147812,FALSE,2944,"HIV","Early/mid"
"PDZD4",-3,-3.48383282479936,-6.17779083351013,-0.789874816088579,0.0112566142013851,1.72369402704171,0.422381217586045,6.42434938206784,0.0112566142013851,FALSE,2945,"HIV","Early/mid"
"POLR1F",-3,-2.21409210780116,-3.92620821424296,-0.501976001359366,0.0112573668651918,0.114429082803253,0.944391436568253,6.42423063568588,0.0112573668651918,FALSE,2946,"HIV","Early/mid"
"NHS",-3,-6.70856243484567,-11.8962285954455,-1.5208962742458,0.0112583092912318,5.08302203720366,0.0787473211811853,6.42408196235321,0.0112583092912318,FALSE,2947,"HIV","Early/mid"
"ZNF883",-3,-2.76218249023553,-4.89911343493478,-0.625251545536282,0.0112950301526889,0.290778321294711,0.864685725968768,6.41829894956503,0.0112950301526889,FALSE,2950,"HIV","Early/mid"
"FAM171A1",-3,-5.48625727920288,-9.7330162489111,-1.23949830949466,0.0113408434045537,3.912361707735,0.141397408395366,6.41111100761141,0.0113408434045537,FALSE,2951,"HIV","Early/mid"
"NRTN",-3,-4.61567958418896,-8.18876230902818,-1.04259685934973,0.0113457423619161,1.11270225488719,0.57329714017129,6.41034414236491,0.0113457423619162,FALSE,2952,"HIV","Early/mid"
"NFKBIZ",-3,-2.10103667451678,-3.72758653835563,-0.474486810677929,0.011350709785134,0.192044066361849,0.908443999937187,6.40956690663318,0.0113507097851341,FALSE,2954,"HIV","Early/mid"
"FAM83B",-3,-3.97926777420743,-7.06096331149143,-0.897572236923444,0.0113795722342346,3.44154734708768,0.178927662748318,6.40505779348282,0.0113795722342346,FALSE,2955,"HIV","Early/mid"
"ZYG11A",-3,-3.72745896826817,-6.61534323279999,-0.83957470373634,0.0114137053545958,0.0028998907199907,0.998551105302915,6.39974038018567,0.0114137053545958,FALSE,2957,"HIV","Early/mid"
"SOX14",-3,-5.52180415433657,-9.80204794908948,-1.24156035958366,0.0114555597085058,0.263262372298059,0.876664261385413,6.3932423507779,0.0114555597085057,FALSE,2959,"HIV","Early/mid"
"EPB41L4A",-3,-2.13683845890695,-3.794929157029,-0.478747760784905,0.0115411214796114,1.21906647855493,0.543604543116674,6.38003409009041,0.0115411214796114,FALSE,2964,"HIV","Early/mid"
"KRT7",-3,-4.44290716438143,-7.89181918076417,-0.993995147998692,0.0115752215851746,4.19621251956789,0.122688548634359,6.37479801144968,0.0115752215851746,FALSE,2969,"HIV","Early/mid"
"TSPAN1",-3,-5.0290311196116,-8.93330862891209,-1.12475361031111,0.0115831659794166,2.83278476708585,0.242587603196987,6.37358042224135,0.0115831659794166,FALSE,2971,"HIV","Early/mid"
"SPATA6L",-3,-3.14443529700791,-5.58623563748958,-0.702634956526235,0.0116044707618681,1.57685494248009,0.454559040714051,6.37031939452588,0.0116044707618681,FALSE,2972,"HIV","Early/mid"
"MDK",-3,-2.34610806507125,-4.1686854646135,-0.523530665528997,0.0116372102912309,1.08014138569188,0.582707057697666,6.36532006142743,0.011637210291231,FALSE,2973,"HIV","Early/mid"
"PSD2",-3,-3.60602973961868,-6.40898957298805,-0.803069906249315,0.0116852689726436,1.60258293325485,0.448749045308825,6.35800758374192,0.0116852689726436,FALSE,2978,"HIV","Early/mid"
"HOMER1",-3,-2.28877040874421,-4.06858524187773,-0.508955575610691,0.0117209889308971,0.53244895982505,0.766267096622183,6.35259250729042,0.0117209889308971,FALSE,2980,"HIV","Early/mid"
"CYB561",-3,-2.00018165411625,-3.5558698696453,-0.444493438587188,0.011736561430329,0.732821990716398,0.693217833341807,6.35023704771272,0.011736561430329,FALSE,2982,"HIV","Early/mid"
"H2AC11",-3,-2.97258543351187,-5.28496519418307,-0.660205672840683,0.0117504378032583,1.54920051307153,0.460887981138317,6.34814084220868,0.0117504378032583,FALSE,2984,"HIV","Early/mid"
"SLC6A1",-3,-5.49037231763556,-9.76282120605691,-1.21792342921422,0.0117795623318967,0.0013084948914806,0.999345966527454,6.34374945880761,0.0117795623318967,FALSE,2985,"HIV","Early/mid"
"CYP2A6",-3,-4.98642378077476,-8.8681625139694,-1.10468504758012,0.0118110286746581,2.09878885324444,0.350149726273282,6.33901748866323,0.0118110286746581,FALSE,2988,"HIV","Early/mid"
"ACTC1",-3,-4.81038418908895,-8.55525275141087,-1.06551562676703,0.0118148585501448,2.8792297553539,0.237019022423665,6.33844242830074,0.0118148585501448,FALSE,2989,"HIV","Early/mid"
"NUDT7",-3,-3.15665036854435,-5.61546751801058,-0.697833219078126,0.0118621639914672,3.43253087521229,0.179736131883282,6.33135520107199,0.0118621639914672,FALSE,2993,"HIV","Early/mid"
"LRRC66",-3,-3.96289675672261,-7.04987014880206,-0.875923364643159,0.0118661382197286,1.50049460297433,0.472249750233347,6.33076111044356,0.0118661382197285,FALSE,2994,"HIV","Early/mid"
