"Symbol","signcon","randomSummary","randomCi.lb","randomCi.ub","randomP","het_QE","het_QEp","het_QM","het_QMp","error","rank","virus","gestation"
"LRRC8E",-6,-2.17328076441617,-3.84058928676421,-0.505972242068121,0.0106264898896554,2.54579458018618,0.769583075430963,6.52673401451223,0.0106264898896554,FALSE,1383,"HIV","Term"
"H4C11",-6,-5.56215201032004,-9.83239585185108,-1.291908168789,0.0106822110966284,0.000249410071089471,0.999999999947749,6.51743246163616,0.0106822110966284,FALSE,1387,"HIV","Term"
"MKRN3",-6,-2.49732036220506,-4.41867861345388,-0.575962110956228,0.0108498205491394,2.09619535254891,0.835680874893105,6.48975047636641,0.0108498205491394,FALSE,1392,"HIV","Term"
"ARTN",-4,-6.16694459038937,-10.9166543074554,-1.41723487332339,0.0109345089919572,0.000240128679411803,0.999999010413938,6.47592989199544,0.0109345089919572,FALSE,1396,"HIV","Term"
"SEC14L5",-4,-3.84421361481632,-6.80689521333651,-0.881532016296128,0.0109860547693907,4.76743659829481,0.444916733419864,6.46757162375327,0.0109860547693907,FALSE,1398,"HIV","Term"
"KDF1",-6,-4.69985763964855,-8.32200643242081,-1.07770884687629,0.0109868126054064,0.317404457278103,0.997302879465687,6.46744903919541,0.0109868126054064,FALSE,1399,"HIV","Term"
"BHLHA15",-4,-2.51704407347496,-4.46002874365644,-0.574059403293482,0.011115712430949,4.95721103149608,0.421124529578312,6.44672395049984,0.011115712430949,FALSE,1405,"HIV","Term"
"LOC101927345",-5,-5.35318059791312,-9.48566789809626,-1.22069329772998,0.0111196283285132,0.000380697477824682,0.999999981885977,6.44609820082654,0.0111196283285132,FALSE,1407,"HIV","Term"
"SLFNL1",-6,-2.92629844765594,-5.1863827282129,-0.666214167098982,0.011158024918195,1.54921890348742,0.907321031809716,6.43997448247667,0.011158024918195,FALSE,1409,"HIV","Term"
"HOXD4",-6,-3.73631474226362,-6.62205871362525,-0.850570770901995,0.011159575958994,1.8641640515332,0.867603132961493,6.43972756777558,0.011159575958994,FALSE,1410,"HIV","Term"
"GALNT13",-2,-8.00561112081908,-14.1890647563639,-1.82215748527432,0.0111637264650107,2.13191620595118e-05,0.996315966388785,6.43906700979475,0.0111637264650107,FALSE,1411,"HIV","Term"
"CNKSR1",-1,-7.45978525212375,-13.2273098435418,-1.69226066070573,0.0112434214830023,0,1,6.42643209705197,0.0112434214830023,FALSE,1413,"HIV","Term"
"ADRB3",-1,-9.27458051560386,-16.4507206910555,-2.09844034015217,0.0113060352407429,0,1,6.41656956215104,0.0113060352407429,FALSE,1415,"HIV","Term"
"KRT17",-1,-9.43859700473065,-16.7443329158636,-2.13286109359767,0.0113361455783717,0,1,6.4118467079,0.0113361455783717,FALSE,1417,"HIV","Term"
"GPR12",-6,-3.01143441117375,-5.34245436790533,-0.680414454442164,0.0113391728470325,1.04269196516556,0.95904939695036,6.41137258844143,0.0113391728470325,FALSE,1418,"HIV","Term"
"XIRP1",-5,-2.45548760788817,-4.356284885343,-0.554690330433345,0.0113439761906257,0.687901876955045,0.952812443448408,6.41062057331501,0.0113439761906258,FALSE,1419,"HIV","Term"
"FOXI3",-6,-4.66779124357623,-8.28131908801527,-1.05426339913718,0.0113481121598304,0.292355028001096,0.99778439943612,6.40997330463084,0.0113481121598303,FALSE,1420,"HIV","Term"
"LRATD1",-3,-7.08422784377597,-12.5725637147009,-1.59589197285106,0.0114101526734986,0.00017400404515325,0.99991300176199,6.40029307155913,0.0114101526734986,FALSE,1428,"HIV","Term"
"CYP2B6",-6,-2.83118729897713,-5.02480737067451,-0.637567227279745,0.0114186129713962,2.36313411592925,0.796951223246217,6.39897719152469,0.0114186129713963,FALSE,1429,"HIV","Term"
"IL33",-1,-9.92498542792677,-17.6157296317816,-2.23424122407196,0.011427273249276,0,1,6.39763124346582,0.0114272732492759,FALSE,1430,"HIV","Term"
"FXYD1",-1,-9.54726910916499,-16.9457600257756,-2.14877819255435,0.0114321083404042,0,1,6.39688024701311,0.0114321083404042,FALSE,1431,"HIV","Term"
"CDH13",-1,-8.6223345839683,-15.3070228929929,-1.93764627494374,0.0114686337757754,0,1,6.39121755178579,0.0114686337757754,FALSE,1432,"HIV","Term"
