"Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction","Comparison"
"NAALAD2",81.5107602094786,-3.16386218745989,1.08688096594403,-2.91095555685977,0.00360325266410225,0.0411935864188661,"Downregulated","HIV_T_vs_NT_T"
"LRRC70",9.64649253669386,-3.98138128324528,1.15601436269502,-3.44405866546802,0.000573051346479714,0.0102820280628989,"Downregulated","HIV_T_vs_NT_T"
"FOXO6",19.3746000461374,-5.73479033765291,1.98594781559723,-2.88768430500189,0.00388089168191702,0.0433838163125888,"Downregulated","HIV_T_vs_NT_T"
"CD24",479.254594661939,-4.01499413231595,1.17932899744034,-3.4044733412222,0.000662917706755986,0.0115496966791333,"Downregulated","HIV_T_vs_NT_T"
"ERVMER34-1",60.6095371929653,-6.44791732184453,1.68403362633257,-3.82885307099631,0.000128741835334896,0.00338147462624159,"Downregulated","HIV_T_vs_NT_T"
"CDH5",799.700603465565,-11.6433982329905,1.87453391616239,-6.21135639776914,5.25291822152743e-10,1.39140010111917e-07,"Downregulated","HIV_T_vs_NT_T"
"CDH6",32.2001076521754,-7.03088350402905,1.77883377461949,-3.95252417867601,7.73311124806292e-05,0.00236503057895748,"Downregulated","HIV_T_vs_NT_T"
"SH2D3A",70.9444253514852,-2.75758092462353,0.941367673129526,-2.92933463017282,0.00339688509826461,0.0394310974360979,"Downregulated","HIV_T_vs_NT_T"
"GJC1",368.952321403002,-2.94359557440977,0.784006889921465,-3.7545531962157,0.000173650963366828,0.00419446252781574,"Downregulated","HIV_T_vs_NT_T"
"AP1M2",50.5943827187874,-4.76506553021503,1.47906909761755,-3.22166526086609,0.00127447938788729,0.0186540035949907,"Downregulated","HIV_T_vs_NT_T"
"IL18BP",1166.66991033395,2.51663281650441,0.782813440733884,3.21485642114815,0.00130509782377249,0.0189907530632369,"Upregulated","HIV_T_vs_NT_T"
"PTPRU",547.389832839972,-3.93187536052638,1.20394978766613,-3.26581340916914,0.00109150145643258,0.0166907874375033,"Downregulated","HIV_T_vs_NT_T"
"EDIL3",128.2111785315,-5.47132515190745,1.42446487343111,-3.84096881148686,0.000122549685908497,0.00326887889419919,"Downregulated","HIV_T_vs_NT_T"
"CDH11",3884.81915698121,-4.24032271429466,1.17331345023849,-3.61397264595644,0.000301540889215572,0.00632547787471269,"Downregulated","HIV_T_vs_NT_T"
"PDZK1IP1",327.629618880587,-3.65033105637847,1.14991400962343,-3.17443828480173,0.0015012681236144,0.0211448854322344,"Downregulated","HIV_T_vs_NT_T"
"LHFPL6",1219.18691691524,-6.20868200797225,1.26902141189531,-4.89249586317022,9.95652095627245e-07,0.000103733673003084,"Downregulated","HIV_T_vs_NT_T"
"CALCRL",122.390509624564,-5.98060632791352,1.34737317947919,-4.43871558303189,9.0497310022192e-06,0.000519960279789271,"Downregulated","HIV_T_vs_NT_T"
"RASGRP2",631.633368248587,-5.07596967153768,1.15090943699385,-4.4103988623084,1.03180388758394e-05,0.000571809615431269,"Downregulated","HIV_T_vs_NT_T"
"SPRY1",207.645184069703,-2.25062896038637,0.687061285163138,-3.2757324695598,0.00105388340335631,0.0162908900372427,"Downregulated","HIV_T_vs_NT_T"
"RAMP2",57.5111989739418,-6.68755680569471,1.50603242464305,-4.44051316310786,8.97446148825764e-06,0.000517538317854208,"Downregulated","HIV_T_vs_NT_T"
"RAMP3",45.4301867744544,-7.34185514857369,1.83206343585235,-4.00742409072641,6.13845814789529e-05,0.00199442461403966,"Downregulated","HIV_T_vs_NT_T"
"FSTL3",5609.57483075917,-4.59184044839805,1.09426646950175,-4.19627264142421,2.71343583322364e-05,0.00109460730093005,"Downregulated","HIV_T_vs_NT_T"
"NET1",438.81398720212,-2.31055058649305,0.797261590346353,-2.89810849346108,0.00375420696952026,0.0424599146066861,"Downregulated","HIV_T_vs_NT_T"
"EFS",176.476259090412,-5.29551837599947,1.35860317309802,-3.89776682467487,9.70838272938669e-05,0.00280775877146603,"Downregulated","HIV_T_vs_NT_T"
"CDKN1C",2985.89646664723,-3.9431252042068,1.01938308623687,-3.86814854733674,0.000109664853912524,0.0030714020375357,"Downregulated","HIV_T_vs_NT_T"
"SPEG",266.468247382697,-6.21145115316096,1.60703842671909,-3.86515409332319,0.000111019086364534,0.00307625227252649,"Downregulated","HIV_T_vs_NT_T"
"NMUR1",17.6230915603668,-19.0432383059414,2.96612021215685,-6.42025169037027,1.36049217802634e-10,4.08880226119147e-08,"Downregulated","HIV_T_vs_NT_T"
"LAMC3",2439.42651132299,-7.57429828676399,1.34322021403221,-5.63891029009063,1.71129655897601e-08,3.26148080776549e-06,"Downregulated","HIV_T_vs_NT_T"
"B3GNT3",92.2020011019186,-6.13418444568046,1.6767603665759,-3.65835486570274,0.000253839419390261,0.00559520796365445,"Downregulated","HIV_T_vs_NT_T"
"CLEC4M",53.4981522441667,-4.60581155491136,1.39671151133859,-3.2976112228768,0.000975110465930221,0.0155025700524491,"Downregulated","HIV_T_vs_NT_T"
"IRAG1",136.177715262317,-3.02851312570408,0.995267565368766,-3.04291351500233,0.00234299659847741,0.0295770200654321,"Downregulated","HIV_T_vs_NT_T"
"ABCA8",360.557931569261,-6.19535204894295,1.43203138070771,-4.32626835724873,1.51656644761387e-05,0.000745311334695268,"Downregulated","HIV_T_vs_NT_T"
"DLC1",1423.52327838946,-2.96023796071773,0.846901184985467,-3.49537586344094,0.000473394601544027,0.00884953448915078,"Downregulated","HIV_T_vs_NT_T"
"MYL9",4225.87710774411,-3.48626408540624,1.13970385541408,-3.05892102483027,0.00222135700644698,0.0284968740547489,"Downregulated","HIV_T_vs_NT_T"
"RAPGEF3",102.881359923587,-2.62465715471129,0.682692822302378,-3.84456532860511,0.000120766310476403,0.00325205012313891,"Downregulated","HIV_T_vs_NT_T"
"YAP1",1781.23835879874,-3.25195662569336,1.12390045927552,-2.89345608755209,0.00381027565893113,0.0428847436176385,"Downregulated","HIV_T_vs_NT_T"
"SPON2",3538.64771973529,-4.34427779582455,1.14853871671368,-3.78243913993154,0.000155299071184605,0.00386467179056212,"Downregulated","HIV_T_vs_NT_T"
"SPON1",1347.36285793569,-8.38679839398991,1.55880548199743,-5.3802725810556,7.43731395472035e-08,1.17404386347848e-05,"Downregulated","HIV_T_vs_NT_T"
"FBLN5",2267.02293810786,-3.74597928105134,1.17700236040904,-3.18264381368743,0.0014593702094258,0.0207148389036389,"Downregulated","HIV_T_vs_NT_T"
"NEBL",52.123830264843,-6.66466964871915,1.78355189518945,-3.73673996629698,0.000186421535456999,0.00442765312480543,"Downregulated","HIV_T_vs_NT_T"
"SORBS1",436.098644260158,-3.73776948416064,1.14535205808322,-3.26342407802184,0.00110074672509956,0.0167828973852252,"Downregulated","HIV_T_vs_NT_T"
"COLEC10",31.8042154112635,-8.69336326726178,2.49994144614338,-3.47742675360372,0.000506251349526398,0.00928602827511568,"Downregulated","HIV_T_vs_NT_T"
"P3H4",257.917065603932,-3.53191400324011,1.24081703974883,-2.84644221516739,0.00442107523001628,0.0478149229721069,"Downregulated","HIV_T_vs_NT_T"
"POSTN",1214.56612982867,-5.93492028689562,1.49828536329218,-3.96114147031032,7.45923200257843e-05,0.00228574270071168,"Downregulated","HIV_T_vs_NT_T"
"CXCR6",63.0133545555798,-5.69060355081462,1.93678352292029,-2.93817222393255,0.00330153563181447,0.0385988090957339,"Downregulated","HIV_T_vs_NT_T"
"PNMA2",115.248621848129,-3.26430649653501,1.14131730228678,-2.86012179960344,0.00423478328620875,0.0464037555908459,"Downregulated","HIV_T_vs_NT_T"
"CORIN",72.7737321247503,-6.05098885126614,1.65923227766124,-3.64686061905405,0.000265463825035631,0.00577005376586488,"Downregulated","HIV_T_vs_NT_T"
"ADCY1",367.077123779901,-3.79175746777447,1.25235996502593,-3.02768978062625,0.00246430922102191,0.0307115027959573,"Downregulated","HIV_T_vs_NT_T"
"SIX2",39.4922445777064,-4.56779917504064,1.56443749920836,-2.91977095751798,0.00350288731544694,0.0403710346355493,"Downregulated","HIV_T_vs_NT_T"
"RAI2",442.435063891818,-5.29280661844521,1.3229584093829,-4.00073545842917,6.31459198195782e-05,0.00202637460973382,"Downregulated","HIV_T_vs_NT_T"
"PLAC1",92.6725663778981,-5.90554863608665,1.75246943307299,-3.36984401818133,0.000752107443728393,0.0127899185316511,"Downregulated","HIV_T_vs_NT_T"
"PLK2",1043.44571563256,-4.20793345316772,1.00083038144076,-4.20444216242728,2.61726852002062e-05,0.00107763518527229,"Downregulated","HIV_T_vs_NT_T"
"NCKAP1",998.006514663053,-3.02320929380294,1.05818456893653,-2.85697730107824,0.00427696422961452,0.0467088728025267,"Downregulated","HIV_T_vs_NT_T"
"VAMP5",614.581133530011,2.43271661942977,0.726430208194693,3.34886489023564,0.000811433546612202,0.0135048812209324,"Upregulated","HIV_T_vs_NT_T"
"FAXDC2",248.962476094563,-3.37605877939359,0.998199892855322,-3.38214700638414,0.000719216451567243,0.0123379963831974,"Downregulated","HIV_T_vs_NT_T"
"PDE10A",138.501989370554,-4.35144983373134,1.51824656544343,-2.86610220814853,0.00415560054485627,0.045670692907886,"Downregulated","HIV_T_vs_NT_T"
"PPP1R13L",259.801883012324,-2.50301876580163,0.81674567092375,-3.06462446623156,0.00217943466676298,0.0281256853610007,"Downregulated","HIV_T_vs_NT_T"
"TSPAN9",1529.15872676993,-4.01731991615857,1.06953266013278,-3.75614515190198,0.000172550639179465,0.00417435202612396,"Downregulated","HIV_T_vs_NT_T"
"FGL2",1563.73849214186,2.52745103884744,0.755369849837397,3.3459781845827,0.000819928463187258,0.0136028046950005,"Upregulated","HIV_T_vs_NT_T"
"LYVE1",904.194303571872,-5.60442910112858,1.03389343154588,-5.42070287916309,5.936515735023e-08,9.46692529662647e-06,"Downregulated","HIV_T_vs_NT_T"
"MTMR11",77.530013904725,-3.92560868992656,1.21377458729269,-3.23421558749437,0.00121977342327538,0.0180346443320223,"Downregulated","HIV_T_vs_NT_T"
"FERMT2",3838.55297563407,-2.72146420162379,0.868795278734807,-3.13245740191746,0.00173349580522325,0.0236810073811442,"Downregulated","HIV_T_vs_NT_T"
"SLC38A3",5.67673147504894,-19.3927593390641,2.68918612116926,-7.21138607194361,5.53851765808882e-13,2.33935010704357e-10,"Downregulated","HIV_T_vs_NT_T"
"CHAT",156.42114953816,-19.5076121792153,2.27739268614569,-8.56576571001044,1.07359986009047e-17,9.32123256305211e-15,"Downregulated","HIV_T_vs_NT_T"
"RBPMS",738.395862567016,-2.99154342126535,0.950406974591468,-3.14764464197168,0.00164591652286718,0.0227229535506786,"Downregulated","HIV_T_vs_NT_T"
"STON1",1314.87192281158,-5.10090453942032,1.19492315288844,-4.26881387902655,1.96515153550023e-05,0.000890185165124566,"Downregulated","HIV_T_vs_NT_T"
"MID2",111.132925556134,-3.74206077811363,1.28179337959141,-2.91939468380346,0.00350711876073819,0.0403900162069392,"Downregulated","HIV_T_vs_NT_T"
"DEPP1",2438.53247378458,-3.41890232918796,1.01050636074535,-3.38335557498736,0.000716058580456654,0.0122973225223919,"Downregulated","HIV_T_vs_NT_T"
"RAPGEF4",10.2951137045886,-3.71679764271935,1.15639383457565,-3.21412786162359,0.00130841395337648,0.0190212960589466,"Downregulated","HIV_T_vs_NT_T"
"TPPP",68.5778018357621,-2.76119505183401,0.956408425416088,-2.88704592981053,0.00388877458538228,0.0434408643462147,"Downregulated","HIV_T_vs_NT_T"
"ADAMTS13",35.6794307957207,-3.09200542298459,1.02234629184047,-3.02442083241506,0.00249109659039583,0.0309959056645749,"Downregulated","HIV_T_vs_NT_T"
"ADAMTS8",270.164997985509,-3.52403818871325,1.18711376121709,-2.96857664685835,0.00299182477068556,0.0357190508145713,"Downregulated","HIV_T_vs_NT_T"
"ADAMTS5",2622.3424025551,-6.01843019623749,1.32197035968849,-4.55262113263696,5.29816363982183e-06,0.000346442265117722,"Downregulated","HIV_T_vs_NT_T"
"PRSS23",1589.69315894044,-4.20809188370709,1.29045060842437,-3.26094765366117,0.00111040537433933,0.0168807540760457,"Downregulated","HIV_T_vs_NT_T"
"ADCY5",106.193340431119,-8.44587070081243,1.66230454726925,-5.08082030737801,3.75808482799102e-07,4.55281780556927e-05,"Downregulated","HIV_T_vs_NT_T"
"PRDM5",28.0119145433561,-3.13120987339237,1.01851787953434,-3.0742807134853,0.00211010782669823,0.027502109321109,"Downregulated","HIV_T_vs_NT_T"
"PTPRT",179.98437345165,-6.64580441869126,1.89973947154254,-3.49827148313923,0.000468284194312661,0.00878552867793309,"Downregulated","HIV_T_vs_NT_T"
"LDB3",23.8682319899689,-6.51714322177485,2.06578437381953,-3.15480323327501,0.00160606382681402,0.022271131752839,"Downregulated","HIV_T_vs_NT_T"
"PTP4A3",138.15495967502,-4.95362974126853,1.05382909858139,-4.7006006457184,2.59397368265038e-06,0.000204740508648789,"Downregulated","HIV_T_vs_NT_T"
"FSTL1",8741.43851690266,-4.22760897701275,1.20638161664158,-3.50437118627677,0.000457686929400697,0.00861774859358325,"Downregulated","HIV_T_vs_NT_T"
"FAM107A",36.3186236684397,-7.36053633477748,1.90510436369593,-3.86358693782946,0.000111734101048131,0.00309044602319184,"Downregulated","HIV_T_vs_NT_T"
"ADAMTS7",449.538803854941,-4.32667421064291,1.00041127695132,-4.32489548081477,1.52604199157705e-05,0.000747617060951917,"Downregulated","HIV_T_vs_NT_T"
"LZTS1",126.392658002642,-6.79631772148073,1.86318585600315,-3.64768640744192,0.000264612323939527,0.00575955626535785,"Downregulated","HIV_T_vs_NT_T"
"INMT",168.543283922154,-5.7066370691045,1.16792042213196,-4.88615231052081,1.02825663631747e-06,0.0001050300307998,"Downregulated","HIV_T_vs_NT_T"
"PKP3",131.224617219777,-4.1922538680796,1.35939042200471,-3.08392188161604,0.00204291230198563,0.0268516681710945,"Downregulated","HIV_T_vs_NT_T"
"FZD10",11.5508805128117,-5.21764344812405,1.69358494218,-3.08082772713358,0.00206426044549304,0.0270867021344797,"Downregulated","HIV_T_vs_NT_T"
