Sample,Rep,GM-CSF, IFNγ,IL-1β,IL-1Ra,IL-2,IL-4,IL-5,IL-6,IL-8,IL-10,IL-12p40,IL-12p70,IL-13,MCP-1,TNF-α
J13,Replicate 2,0.11,2.10,175.96,"1,423.54",0.20,0.02,0.06,252.76,"9,439.17",235.64,10.12,1.43,6.07,"8,935.58",381.84
J14,AVERAGE,0.73,1.73,704.32,600.30,0.01,0.03,0.06,291.13,"6,933.39",42.59,4.61,1.49,5.82,"2,032.88",93.51
J14,Replicate 1,1.01,1.44,630.72,542.24,0.04,0.07,0.06,252.54,"5,477.93",34.47,4.61,2.65,5.56,"1,301.22",85.17
J14,Replicate 2,0.48,2.02,780.08,662.36,OOR <,OOR <,0.07,335.19,"9,096.84",50.78,4.61,0.26,6.07,"5,372.84",101.81
J15,AVERAGE,1.98,1.93,13.59,217.31,0.01,0.03,0.11,185.47,"8,730.95",15.89,5.37,0.46,3.94,"4,350.98",35.47
J15,Replicate 1,1.31,1.95,14.63,208.40,0.04,0.04,0.11,178.71,"9,228.09",16.36,4.61,OOR <,5.03,"5,002.18",34.87
J15,Replicate 2,2.76,1.92,12.55,226.35,OOR <,0.02,0.11,192.37,"8,275.41",15.41,6.13,0.92,2.77,"3,864.32",36.07
J16,AVERAGE,7.32,4.11,34.73,257.19,0.60,0.02,8.08,276.78,"9,604.38",23.67,7.89,1.17,23.34,"4,204.44",28.39
J16,Replicate 1,7.61,4.35,38.27,268.69,0.67,0.03,8.70,297.65,"9,257.31",25.73,9.13,1.67,26.31,"5,104.63",29.78
J16,Replicate 2,7.03,3.87,31.17,245.87,0.54,0.01,7.46,257.22,"9,973.04",21.63,6.64,0.66,20.29,"3,597.49",27.00
J17,AVERAGE,17.76,2.09,30.57,388.10,OOR <,OOR <,0.07,"5,750.49","8,570.42",60.75,11.10,1.17,5.56,"6,848.94",493.18
J17,Replicate 1,21.37,2.23,34.36,383.00,OOR <,OOR <,0.07,OOR >,"8,600.70",61.09,11.10,0.92,6.07,"8,832.80",500.39
J17,Replicate 2,14.43,1.95,26.76,393.25,OOR <,0.01,0.08,"3,588.79","8,540.31",60.40,11.10,1.43,5.03,"5,657.08",486.04
J18,AVERAGE,7.05,2.05,15.48,699.66,0.08,0.01,0.07,530.75,"8,612.28",14.74,5.12,0.92,6.07,"3,695.64",42.41
J18,Replicate 1,8.78,2.00,15.63,667.20,0.09,0.03,0.07,504.09,"7,606.47",14.92,6.13,0.66,8.04,"3,239.68",44.19
J18,Replicate 2,5.47,2.09,15.33,733.26,0.06,OOR <,0.08,559.66,"9,849.43",14.56,4.09,1.17,3.94,"4,325.97",40.62
J19,AVERAGE,7.37,1.56,15.90,160.82,OOR <,0.01,0.05,219.13,"7,322.50",21.59,4.09,0.26,3.94,"2,221.05",22.00
J19,Replicate 1,7.94,1.61,17.39,160.26,OOR <,0.03,0.06,217.88,"7,302.38",22.59,4.09,0.26,2.15,"1,588.79",23.07
J19,Replicate 2,6.81,1.50,14.40,161.38,OOR <,OOR <,0.05,220.39,"7,342.71",20.60,4.09,0.26,5.56,"3,877.87",20.92
J20,AVERAGE,4.73,1.64,22.40,548.15,0.44,0.04,0.07,556.81,"7,740.33",17.06,5.37,0.46,5.56,"3,079.93",277.44
J20,Replicate 1,5.56,1.83,23.01,608.34,0.36,0.03,0.07,520.73,"9,244.30",17.09,7.14,0.66,7.07,"3,824.31",311.06
J20,Replicate 2,3.96,1.44,21.80,491.85,0.51,0.04,0.07,597.07,"6,589.82",17.02,3.58,0.26,3.94,"2,595.45",244.65
J21,AVERAGE,OOR <,1.90,"1,067.88","1,282.05",OOR <,0.02,0.09,"1,435.19","7,759.93",110.56,6.13,0.73,12.12,"3,947.24","1,251.71"
J21,Replicate 1,OOR <,2.09,"1,084.40","1,358.32",OOR <,0.03,0.08,"1,789.67","7,580.37",113.25,7.14,0.66,11.69,"4,272.06","1,286.45"
J21,Replicate 2,OOR <,1.72,"1,051.48","1,210.10",OOR <,0.02,0.10,"1,209.45","7,946.31",107.88,5.12,0.79,12.56,"3,673.12","1,218.56"
J22,AVERAGE,OOR <,1.77,24.89,"1,079.65",10.12,0.02,1.36,119.33,"10,058.09",29.19,3.06,0.26,7.07,"7,422.43",175.61
J22,Replicate 1,OOR <,1.87,25.79,"1,097.77",9.65,0.01,1.39,123.05,"9,203.85",29.21,4.61,0.39,8.98,"7,669.53",173.47
J22,Replicate 2,OOR <,1.67,23.99,"1,061.82",10.59,0.03,1.33,115.65,"11,049.37",29.18,1.46,0.12,5.03,"7,192.86",177.75
J23,AVERAGE,0.35,2.18,973.28,"1,356.88",0.01,0.04,0.08,"2,686.89","7,542.67",175.46,8.14,1.49,11.25,"4,301.28","2,092.96"
J23,Replicate 1,0.09,2.16,"1,009.12","1,183.80",0.04,0.04,0.09,"2,198.79","6,565.18",166.22,7.14,1.55,13.41,"3,547.38","1,665.14"
J23,Replicate 2,0.73,2.19,937.97,"1,556.38",OOR <,0.04,0.08,"3,583.60","8,771.09",184.77,9.13,1.43,8.98,"5,549.83","2,885.25"
J24,AVERAGE,OOR <,2.15,908.65,"1,688.59",OOR <,0.03,0.09,"3,173.25","8,424.35",185.01,8.14,1.43,7.80,"3,184.21","2,370.88"
J24,Replicate 1,OOR <,1.90,824.41,"1,503.84",0.04,0.03,0.09,"2,550.11","7,297.92",185.28,6.13,0.92,3.94,"2,064.62","2,135.41"
J24,Replicate 2,OOR <,2.39,995.92,"1,899.65",OOR <,0.03,0.10,"4,416.60","9,856.64",184.73,10.12,1.92,11.25,"8,587.35","2,677.05"
J25,AVERAGE,0.03,1.80,922.43,"1,192.01",OOR <,0.02,0.19,"2,233.00","9,545.94",112.68,7.64,0.26,9.90,"5,836.94","1,476.17"
J25,Replicate 1,OOR <,1.87,865.57,"1,187.58",OOR <,0.03,0.17,"2,159.97","9,157.28",106.68,9.13,0.12,8.98,"5,480.86","1,825.97"
J25,Replicate 2,0.88,1.72,980.65,"1,196.45",OOR <,0.00,0.20,"2,312.42","9,962.03",118.71,6.13,0.39,10.80,"6,250.59","1,235.99"
J26,AVERAGE,0.09,1.63,20.06,"1,153.95",0.17,0.01,0.04,184.30,"8,671.29",35.58,3.06,0.39,4.77,"5,480.86",222.80
J26,Replicate 1,0.89,1.54,20.13,"1,100.40",0.20,0.02,0.03,184.42,"8,081.95",39.76,3.06,0.92,5.56,"4,428.03",229.38
J26,Replicate 2,OOR <,1.72,19.98,"1,209.99",0.14,0.00,0.06,184.18,"9,332.66",31.43,3.06,OOR <,3.94,"7,355.14",216.24
J27,AVERAGE,0.82,2.02,"1,363.27","1,760.16",0.49,OOR <,0.07,"2,725.16","7,847.87",212.08,5.63,0.26,7.32,"4,274.48","3,079.29"
J27,Replicate 1,1.57,1.98,"1,447.36","1,697.01",0.67,0.02,0.09,"2,651.75","6,407.55",232.46,6.13,0.66,9.44,"3,287.24","2,924.60"
J27,Replicate 2,0.29,2.06,"1,282.10","1,826.04",0.30,OOR <,0.05,"2,803.86","9,878.29",192.06,5.12,OOR <,5.03,"6,343.91","3,255.87"
J28,AVERAGE,347.47,8.55,533.61,783.17,0.23,0.02,0.20,"3,420.07","9,533.13","18,597.34",9.62,2.22,11.69,"6,683.96","1,795.14"
J28,Replicate 1,370.97,8.04,601.98,817.87,0.46,0.01,0.21,"3,309.73","9,387.34","20,142.00",8.63,2.28,12.56,"5,693.90","1,965.84"
J28,Replicate 2,324.69,9.06,466.83,749.64,OOR <,0.03,0.19,"3,540.24","9,682.62","17,277.00",10.61,2.16,10.80,"8,182.75","1,652.97"
J29,AVERAGE,436.78,139.36,637.99,"1,038.53",612.72,0.19,54.16,"3,379.29","9,595.75","17,878.44",9.87,1.11,200.67,"15,762.59","2,136.20"
J29,Replicate 1,442.38,142.15,678.51,"1,104.23",640.98,0.20,56.70,"4,178.05","9,756.58","20,375.43",10.12,1.30,223.65,"18,354.67","2,494.81"
J29,Replicate 2,431.22,136.59,598.07,976.42,585.32,0.17,51.63,"2,880.28","9,439.17","15,935.20",9.62,0.92,177.36,"13,886.02","1,876.04"
J30,AVERAGE,388.58,47.74,656.66,"1,344.24",0.72,0.06,0.15,"5,199.81","9,738.89","17,734.42",7.39,1.49,12.99,"6,913.25","4,411.89"
J30,Replicate 1,343.13,50.54,678.10,"1,307.75",0.82,0.04,0.14,"6,212.63","9,221.62","15,894.43",8.63,1.43,12.56,"3,953.31","3,923.83"
J30,Replicate 2,436.73,44.96,635.40,"1,381.79",0.62,0.09,0.16,"4,525.99","10,304.95","20,068.14",6.13,1.55,13.41,OOR >,"5,097.04"
J31,AVERAGE,480.79,85.64,660.17,"1,330.01",1.08,0.05,0.50,"5,546.71","9,768.11","15,561.14",11.34,1.36,9.90,"6,452.80","4,612.89"
J31,Replicate 1,495.05,82.52,657.64,"1,398.21",1.08,0.09,0.49,"9,402.95","9,929.13","16,089.96",13.54,1.67,9.90,"7,762.44","6,316.80"
J31,Replicate 2,466.74,88.79,662.70,"1,265.24",1.08,0.01,0.51,"4,178.05","9,611.29","15,066.26",9.13,1.05,9.90,"5,558.59","3,747.90"
J32,AVERAGE,493.19,11.83,661.64,883.95,0.37,0.02,0.16,"3,011.16","8,853.02","20,558.48",10.12,1.80,9.90,"4,231.43","1,674.08"
J32,Replicate 1,468.85,12.56,672.44,856.36,0.46,0.02,0.16,"2,499.67","8,707.30","20,894.87",10.12,1.92,10.80,"4,608.93","1,526.93"
J32,Replicate 2,518.14,11.10,650.89,912.27,0.28,0.01,0.16,"3,907.31","9,002.70","20,233.05",10.12,1.67,8.98,"3,917.17","1,853.51"
J33,AVERAGE,562.41,9.52,787.78,938.78,1.02,0.02,0.19,"4,338.88","10,489.67","26,675.61",8.14,1.30,8.28,"9,886.03","2,462.01"
J33,Replicate 1,562.52,9.47,840.39,915.34,1.08,0.03,0.21,"4,232.58","9,802.83","27,775.35",7.14,1.17,6.07,"24,761.02","3,206.12"
J33,Replicate 2,562.30,9.57,736.26,962.73,0.95,0.02,0.16,"4,452.31","11,258.84","25,662.99",9.13,1.43,10.35,"6,591.84","2,027.55"
J34,AVERAGE,423.43,39.77,808.28,"1,084.08",3.66,0.23,1.76,"3,560.48","10,304.95","23,818.98",8.38,1.74,11.47,"16,528.27","2,689.07"
J34,Replicate 1,387.39,40.77,793.36,"1,061.82",3.88,0.24,1.78,"3,132.06","10,489.67","24,758.80",8.63,1.92,11.25,"14,734.88","2,888.43"
J34,Replicate 2,461.04,38.77,823.28,"1,106.78",3.44,0.22,1.74,"4,178.05","10,125.48","22,950.31",8.14,1.55,11.69,"18,924.68","2,519.80"
J35,AVERAGE,626.76,11.61,689.59,993.58,0.57,0.01,0.51,"3,881.70","10,996.39","16,548.22",10.85,0.92,8.51,"7,232.66","2,511.41"
J35,Replicate 1,607.04,11.62,685.26,"1,007.48",0.46,OOR <,0.50,"3,002.85","10,833.61","16,184.29",11.10,1.43,9.90,"8,659.33","2,558.03"
J35,Replicate 2,646.81,11.60,693.92,979.85,0.67,0.01,0.51,"5,989.31","11,163.22","16,929.14",10.61,0.39,7.07,"6,250.59","2,466.74"
J36,AVERAGE,370.17,105.54,599.07,855.82,406.51,0.05,49.96,"3,758.32","9,856.64","11,662.41",11.10,0.98,81.50,"5,172.53",924.86
J36,Replicate 1,361.87,107.96,586.46,902.39,395.41,0.06,50.39,"3,609.74","9,995.11","11,139.58",11.10,0.66,81.50,"4,000.60","1,027.76"
J36,Replicate 2,378.55,103.14,611.74,811.24,417.77,0.04,49.53,"3,923.54","9,721.25","12,235.71",11.10,1.30,81.50,"7,597.02",835.56
J37,AVERAGE,594.33,56.26,764.65,"1,392.51",0.12,OOR <,0.30,"2,488.73","7,563.84","15,708.61",9.13,0.79,8.04,"2,987.27","2,665.61"
J37,Replicate 1,503.97,51.23,674.32,"1,140.31",0.04,OOR <,0.30,"1,870.26","5,743.01","13,051.39",9.13,0.66,8.04,"1,772.57","2,213.02"
J37,Replicate 2,692.46,61.34,858.33,"1,703.94",0.20,OOR <,0.30,"4,132.71","10,497.65","19,746.47",9.13,0.92,8.04,"20,028.38","3,430.42"
J38,AVERAGE,481.04,50.83,763.25,"1,449.48",0.30,0.01,0.26,"3,555.39","8,420.15","18,037.99",10.12,2.04,11.90,"5,661.66","2,743.12"
J38,Replicate 1,453.10,50.68,721.85,"1,334.21",0.30,0.02,0.26,"3,379.29","8,667.63","19,652.02",12.08,1.67,14.67,"4,751.41","2,978.40"
J38,Replicate 2,509.83,50.98,805.34,"1,575.47",0.30,OOR <,0.27,"3,756.86","8,183.78","16,673.25",8.14,2.41,8.98,"7,099.37","2,548.15"
J39,AVERAGE,695.60,7.64,740.13,984.39,1.02,0.02,0.36,"3,111.97","9,062.14","15,991.59",7.14,0.79,14.05,"5,016.03","1,781.55"
J39,Replicate 1,670.27,7.29,754.13,999.83,1.05,0.03,0.39,"4,155.22","9,052.71","18,057.73",8.14,1.17,15.91,"5,988.46","1,714.08"
J39,Replicate 2,721.44,7.99,726.19,969.17,0.98,0.01,0.33,"2,547.91","9,071.58","14,353.64",6.13,0.39,12.12,"4,340.94","1,854.85"
J40,AVERAGE,811.16,7.02,"1,042.70","1,193.12",0.64,0.04,0.12,"4,486.46","9,091.30","20,076.32",13.29,1.74,6.82,"11,107.29","2,705.97"
J40,Replicate 1,849.57,7.23,"1,113.57","1,178.98",0.67,0.03,0.11,"4,667.89","8,249.64","18,899.56",14.51,1.67,7.56,"8,683.63","2,281.43"
J40,Replicate 2,773.75,6.80,973.88,"1,207.42",0.62,0.05,0.13,"4,322.08","10,080.47","21,414.29",12.08,1.80,6.07,"16,008.56","3,388.74"
J41,AVERAGE,442.28,28.15,711.92,887.70,2.06,0.10,2.76,"5,041.57","9,539.10","14,462.07",7.89,1.05,9.44,"4,457.06","1,146.27"
J41,Replicate 1,463.14,29.23,744.84,963.08,2.14,0.10,2.93,"7,037.48","10,270.18","16,279.74",8.63,1.92,11.69,"7,543.66","1,116.22"
J41,Replicate 2,421.91,27.06,679.42,817.34,1.99,0.10,2.59,"4,056.31","8,888.73","13,010.43",7.14,0.12,7.07,"3,257.99","1,177.66"
J42,AVERAGE,5.62,1.50,333.52,766.59,OOR <,0.02,0.05,"1,725.13","9,633.82",84.30,4.09,0.26,6.82,"9,225.99","1,965.41"
J42,Replicate 1,2.44,1.37,312.16,754.10,OOR <,0.02,0.05,"1,867.69","10,289.47",84.76,5.12,0.39,8.04,"27,051.04","1,638.31"
J42,Replicate 2,9.80,1.64,355.00,779.24,0.04,0.01,0.05,"1,605.99","9,043.30",83.83,3.06,0.12,5.56,"5,998.88","2,480.68"
J43,AVERAGE,11.98,9.86,355.81,"1,113.94",382.74,0.03,36.40,"3,615.03","9,689.63",67.87,6.89,OOR <,130.85,"6,866.67","5,203.80"
J43,Replicate 1,10.78,10.70,338.83,"1,097.96",385.91,0.03,34.89,"2,919.72","9,623.41",67.87,6.13,OOR <,126.93,"7,867.67","4,789.11"
J43,Replicate 2,13.23,9.01,372.87,"1,130.13",379.58,0.03,37.93,"4,983.48","9,756.58",67.87,7.64,0.12,134.75,"6,116.32","5,728.84"
J44,AVERAGE,2.66,1.73,256.92,"1,308.67",0.02,0.02,0.03,"2,954.97","9,600.06",135.13,6.13,0.92,7.07,"6,110.87","5,669.68"
J44,Replicate 1,2.80,1.54,247.14,"1,379.95",0.23,0.03,0.04,"3,046.70","9,211.92",144.16,6.13,0.66,7.07,"12,484.83","5,554.66"
J44,Replicate 2,2.53,1.92,266.72,"1,241.15",OOR <,0.02,0.03,"2,869.89","10,015.42",126.17,6.13,1.17,7.07,"4,238.54","5,791.24"
J45,AVERAGE,1.28,1.74,254.69,"1,129.18",OOR <,OOR <,0.04,"2,271.86","10,189.80",93.61,6.89,0.66,6.07,"323,670.24","3,958.56"
J45,Replicate 1,0.80,1.86,247.22,"1,106.98",OOR <,OOR <,0.03,"2,167.30","9,173.30",94.64,6.64,0.92,5.03,"8,807.53","3,642.83"
J45,Replicate 2,1.84,1.63,262.18,"1,151.80",OOR <,OOR <,0.06,"2,389.76","11,403.66",92.59,7.14,0.39,7.07,OOR >,"4,355.53"
J46,AVERAGE,3.91,1.36,315.29,843.89,OOR <,OOR <,0.03,"1,664.31","9,909.11",90.58,6.13,1.05,8.04,"8,323.72","1,976.57"
J46,Replicate 1,4.04,1.51,327.26,837.24,OOR <,OOR <,0.03,"1,642.43","10,144.33",88.83,6.13,1.17,7.07,"5,208.19","2,014.60"
J46,Replicate 2,3.78,1.20,303.35,850.58,0.04,0.00,0.03,"1,686.89","9,682.62",92.34,6.13,0.92,8.98,"34,429.05","1,940.09"
J47,AVERAGE,10.64,1.66,945.82,955.39,OOR <,OOR <,0.11,"2,126.29","10,330.18",33.32,8.63,0.26,5.03,"7,508.56","3,295.38"
J47,Replicate 1,13.15,1.58,921.34,973.18,OOR <,OOR <,0.09,"2,209.53","9,630.35",34.26,8.14,0.39,3.94,"6,046.30","3,480.99"
J47,Replicate 2,8.35,1.73,970.55,937.89,OOR <,0.00,0.13,"2,050.31","11,117.01",32.37,9.13,0.12,6.07,"10,157.29","3,132.66"
J48,AVERAGE,13.88,1.54,"1,070.05","1,208.49",OOR <,0.04,0.09,"2,241.76","9,920.02",46.28,7.39,2.28,8.28,"12,700.32","5,401.73"
J48,Replicate 1,12.13,1.42,"1,017.03","1,093.67",OOR <,0.04,0.10,"2,069.84","9,429.10",43.92,8.63,2.53,8.04,"5,962.59","4,916.13"
J48,Replicate 2,15.73,1.66,"1,124.29","1,335.15",OOR <,0.03,0.09,"2,453.63","10,453.88",48.65,6.13,2.04,8.51,OOR >,"6,038.84"
J49,AVERAGE,"2,206.49",2.03,"3,918.19",683.14,0.25,0.08,0.09,OOR >,"10,899.09","1,250.47",31.08,2.16,9.67,"10,715.39","5,276.68"
J49,Replicate 1,"1,952.42",1.98,"3,882.42",645.37,0.12,0.05,0.11,"7,283.46","9,845.84","1,252.98",27.35,1.92,8.98,"21,293.95","4,843.61"
J49,Replicate 2,"2,486.52",2.09,"3,954.40",722.49,0.38,0.11,0.08,OOR >,"12,150.77","1,247.96",34.80,2.41,10.35,"7,508.56","5,829.56"
J50,AVERAGE,27.21,1.69,"1,109.84",425.64,OOR <,0.04,0.07,"1,981.21","10,363.32",86.65,8.63,1.05,8.04,"7,669.53","3,496.27"
J50,Replicate 1,39.43,1.74,"1,087.70",419.29,0.01,0.03,0.08,"1,955.58","9,081.04",89.08,12.08,1.17,8.98,"20,198.45","3,387.95"
J50,Replicate 2,16.91,1.63,"1,132.19",432.05,OOR <,0.04,0.06,"2,007.68","11,970.17",84.22,5.12,0.92,7.07,"5,061.66","3,613.76"
J51,AVERAGE,27.30,1.86,"1,333.49","1,260.71",0.40,0.08,0.11,"2,547.91","11,007.17",45.49,11.59,1.49,15.71,"6,737.93","4,574.19"
