Sample,Rep,GM-CSF, IFNγ,IL-1β,IL-1Ra,IL-2,IL-4,IL-5,IL-6,IL-8,IL-10,IL-12p40,IL-12p70,IL-13,MCP-1,TNF-α
J56,Replicate 1,59.54,2.03,32.88,941.11,0.38,0.07,0.05,"4,364.40","9,568.22",846.16,74.72,1.55,6.07,"6,355.80","7,621.23"
J56,Replicate 2,55.73,1.63,34.43,954.27,0.49,0.03,0.08,"2,970.18","8,500.43",853.94,55.40,1.17,10.80,"4,092.53","6,184.94"
J57,AVERAGE,1.05,1.25,1.28,256.87,0.14,0.01,0.05,109.29,"8,158.46",6.13,4.35,1.05,3.37,"6,751.58",31.79
J57,Replicate 1,0.71,1.35,1.19,280.59,0.20,0.03,0.05,109.80,"9,077.88",5.87,5.12,1.67,2.77,OOR >,35.07
J57,Replicate 2,1.43,1.16,1.37,233.93,0.09,OOR <,0.06,108.77,"7,378.85",6.39,3.58,0.39,3.94,"3,506.54",28.47
J58,AVERAGE,4.20,1.34,0.89,63.67,0.50,0.02,0.05,90.81,"9,340.92",8.08,7.64,0.73,3.37,"17,727.21",14.57
J58,Replicate 1,5.08,1.20,0.30,65.37,0.62,0.01,0.05,93.32,"9,571.65",8.75,9.13,0.66,1.47,"15,909.11",14.33
J58,Replicate 2,3.40,1.48,1.46,61.97,0.38,0.02,0.06,88.30,"9,119.03",7.42,6.13,0.79,5.03,"20,113.00",14.80
J59,AVERAGE,159.68,4.74,502.81,"1,024.75",0.19,0.02,0.07,"3,321.43","8,397.14","5,682.39",81.84,1.67,10.58,"3,092.19","5,653.29"
J59,Replicate 1,175.98,5.38,510.87,"1,117.65",0.12,0.02,0.08,OOR >,"9,424.07","9,052.43",93.35,1.92,9.44,"19,537.51","6,038.84"
J59,Replicate 2,144.07,4.09,494.76,938.90,0.25,0.01,0.07,"2,126.99","7,537.97","4,027.55",70.25,1.43,11.69,"1,842.80","5,326.79"
J60,AVERAGE,0.10,1.14,0.89,39.37,0.24,0.01,0.07,31.93,"8,752.47",7.39,4.35,0.53,4.22,"3,765.09",7.52
J60,Replicate 1,0.11,1.14,1.11,43.49,OOR <,0.03,0.08,30.14,"7,937.39",7.29,5.63,0.66,3.37,"2,542.48",7.07
J60,Replicate 2,0.10,1.14,0.66,35.29,0.49,OOR <,0.06,33.72,"9,710.69",7.48,3.06,0.39,5.03,"8,401.97",7.97
J61,AVERAGE,9.70,1.57,3.02,688.63,0.50,OOR <,0.06,377.69,"5,578.89",11.51,7.64,0.66,4.49,"2,326.12",720.59
J61,Replicate 1,7.13,1.66,3.23,732.29,0.36,OOR <,0.07,413.29,"7,755.02",11.31,5.12,0.39,5.03,"4,981.56",790.92
J61,Replicate 2,12.59,1.48,2.81,646.89,0.64,0.01,0.06,345.70,"4,209.84",11.71,10.12,0.92,3.94,"1,567.57",656.83
