Symbol,log2FoldChange,padj,Direction,Comparison,ndeg,ddeg,idx,degvcount,virus.x,gestation.x,signcon,randomSummary,randomP,rank,virus.y,gestation.y,Shared_2,Shared
GPR21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-5.50471653632102,0.0082402190734361,1242,HIV,Term,FALSE,FALSE
GPR32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-4.92565572691908,0.0238269023634736,1950,HIV,Term,FALSE,FALSE
GPR37,-6.34902875267127,0.00208714617827604,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-2,-21.4651455543322,1.2565455307741E-08,158,HIV,Term,FALSE,FALSE
GPR4,-3.28629105082343,0.0351860457629698,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-8.02411703597268,0.0242452045695796,1963,HIV,Term,FALSE,FALSE
GPR42,-5.09860364660983,0.0203874784592313,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-19.6189448784702,0.000153331024812529,257,HIV,Term,FALSE,FALSE
GPR50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-4.28075623853822,0.0196774220359548,1792,HIV,Term,FALSE,FALSE
GPR78,-6.61962414289277,0.0107771525041538,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
GPR87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-6.86448834029961,0.0124948787450868,1482,HIV,Term,FALSE,FALSE
GPRC5A,-3.65167937531255,0.00878860874687299,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
GPRC5B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-3.07447150565131,0.000522119531751242,442,HIV,Term,FALSE,FALSE
GPRC5C,-2.74925264983193,0.0168907285837856,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-6,-2.80814361287675,0.00107662439811734,519,HIV,Term,FALSE,FALSE
GPRIN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-4.36279793360622,0.0454322877982039,2677,HIV,Term,FALSE,FALSE
GPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-2.25109930594349,0.0395207118038003,2505,HIV,Term,FALSE,FALSE
GPX7,-4.7885768398735,0.00379279205972366,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-9.43371643191455,0.00953747763422939,1325,HIV,Term,FALSE,FALSE
GRAMD1C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-6.09934992721066,0.0116230680258796,1439,HIV,Term,FALSE,FALSE
GRAMD2A,-4.618555143313,0.0402271387732387,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-20.3582720161869,1.04645134135225E-05,233,HIV,Term,FALSE,FALSE
