Symbol,log2FoldChange,padj,Direction,Comparison,ndeg,ddeg,idx,degvcount,virus.x,gestation.x,signcon,randomSummary,randomP,rank,virus.y,gestation.y,Shared_between_3,Shared_between_rem_vote
HLA-DOA,NA,NA,NA,NA,2,2,4,2.Up-regulated,HIV,Early/mid,3,2.92622064291201,0.0162421603954783,3364,HIV,Early/mid,FALSE,TRUE
HLA-DPA1,NA,NA,NA,NA,3,3,9,2.Up-regulated,HIV,Early/mid,3,3.86922794808811,2.02429556254471E-07,348,HIV,Early/mid,FALSE,TRUE
HLA-DPB1,NA,NA,NA,NA,2,2,4,2.Up-regulated,HIV,Early/mid,3,2.82751150601527,0.00238391521809507,1860,HIV,Early/mid,FALSE,TRUE
HLA-DQA1,NA,NA,NA,NA,3,3,9,2.Up-regulated,HIV,Early/mid,3,3.40784857078632,0.000165747288743281,1101,HIV,Early/mid,FALSE,TRUE
HLA-DQA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.63818478668642,0.0172045247742843,3423,HIV,Early/mid,FALSE,FALSE
HLA-DQB1,NA,NA,NA,NA,2,2,4,2.Up-regulated,HIV,Early/mid,3,3.98778808261051,0.00506118711323241,2103,HIV,Early/mid,FALSE,TRUE
HLA-DRB1,NA,NA,NA,NA,3,3,9,2.Up-regulated,HIV,Early/mid,3,4.03778209300085,7.4235492297671E-10,97,HIV,Early/mid,FALSE,TRUE
HLA-DRB3,NA,NA,NA,NA,2,2,4,2.Up-regulated,HIV,Early/mid,3,3.06329843453058,0.000200245289656113,1232,HIV,Early/mid,FALSE,TRUE
HLA-E,NA,NA,NA,NA,2,2,4,2.Up-regulated,HIV,Early/mid,NA,NA,NA,NA,NA,NA,FALSE,FALSE
HLA-G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.93589656762376,0.0149718349162181,3257,HIV,Early/mid,FALSE,FALSE
HMGCLL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.94620311233503,0.0216497895183161,3711,HIV,Early/mid,FALSE,FALSE
HNF1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.75062595696066,0.0276384989383356,4034,HIV,Early/mid,FALSE,FALSE
HOGA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.14726775038824,0.0391531129671846,4551,HIV,Early/mid,FALSE,FALSE
HOOK1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.08718939158275,0.00448699127083032,1999,HIV,Early/mid,FALSE,FALSE
HOXA10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.74572512691846,0.00231974930345012,1528,HIV,Early/mid,FALSE,FALSE
HOXA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.55719190866315,0.0362878417950521,4427,HIV,Early/mid,FALSE,FALSE
HOXA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.51534161896984,0.0124672454722427,3045,HIV,Early/mid,FALSE,FALSE
